date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.97,-3.078,1.642,1.692,3.068,1.385,1.292
2015-01-06,1.001,0.97,-3.097,1.669,1.725,3.368,1.402,1.52
2015-01-07,1.001,0.922,-7.911,1.671,1.821,8.977,1.403,4.155
2015-01-08,1.001,0.921,-8.02,1.663,1.79,7.669,1.398,3.176
2015-01-09,1.002,0.913,-8.837,1.654,1.72,4.009,1.393,0.316
2015-01-12,1.002,0.912,-8.982,1.636,1.668,1.975,1.382,-1.201
2015-01-13,1.002,0.917,-8.501,1.668,1.694,1.565,1.402,-1.313
2015-01-14,1.002,0.912,-9.009,1.657,1.696,2.385,1.395,-0.889
2015-01-15,1.003,0.926,-7.631,1.683,1.795,6.655,1.411,2.594
2015-01-16,1.003,0.922,-8.048,1.709,1.757,2.839,1.426,-0.224
2015-01-19,1.003,0.917,-8.593,1.615,1.66,2.786,1.37,-0.547
2015-01-20,1.003,0.926,-7.705,1.693,1.72,1.595,1.417,-1.037
2015-01-21,1.004,0.927,-7.623,1.75,1.77,1.131,1.452,-1.288
2015-01-22,1.004,0.932,-7.144,1.777,1.797,1.131,1.468,-1.131
2015-01-23,1.004,0.937,-6.655,1.751,1.77,1.079,1.452,-1.06
2015-01-26,1.004,0.947,-5.705,1.798,1.833,1.941,1.481,-0.135
2015-01-27,1.005,0.945,-5.923,1.805,1.833,1.534,1.485,-0.485
2015-01-28,1.005,0.946,-5.843,1.801,1.835,1.877,1.483,-0.216
2015-01-29,1.005,0.942,-6.25,1.784,1.835,2.841,1.473,0.36
2015-01-30,1.005,0.94,-6.468,1.757,1.823,3.768,1.456,0.941
2015-02-02,1.006,0.933,-7.21,1.745,1.787,2.436,1.449,-0.242
2015-02-03,1.006,0.938,-6.732,1.788,1.838,2.825,1.475,0.217
2015-02-04,1.006,0.938,-6.741,1.785,1.826,2.291,1.473,-0.176
2015-02-05,1.006,0.938,-6.759,1.781,1.819,2.151,1.471,-0.286
2015-02-06,1.006,0.937,-6.877,1.738,1.787,2.825,1.445,0.125
2015-02-09,1.007,0.94,-6.626,1.726,1.8,4.305,1.438,1.245
2015-02-10,1.007,0.942,-6.436,1.755,1.805,2.878,1.455,0.302
2015-02-11,1.007,0.947,-5.958,1.782,1.809,1.515,1.472,-0.53
2015-02-12,1.007,0.949,-5.778,1.802,1.825,1.293,1.484,-0.627
2015-02-13,1.007,0.956,-5.093,1.839,1.888,2.664,1.506,0.591
2015-02-16,1.008,0.96,-4.743,1.879,1.897,0.958,1.531,-0.542
2015-02-17,1.008,0.977,-3.075,1.895,1.937,2.233,1.54,0.844
2015-02-25,1.009,0.967,-4.191,1.888,1.92,1.706,1.536,0.156
2015-02-26,1.01,0.969,-4.012,1.917,1.956,2.061,1.554,0.483
2015-02-27,1.01,0.969,-4.031,1.935,1.985,2.584,1.565,0.875
2015-03-02,1.01,0.982,-2.792,1.982,2.038,2.831,1.593,1.406
2015-03-03,1.01,0.978,-3.207,1.963,2.032,3.494,1.582,1.782
2015-03-04,1.011,0.98,-3.018,1.994,2.025,1.565,1.601,0.406
2015-03-05,1.011,0.983,-2.741,1.995,2.016,1.068,1.601,0.106
2015-03-06,1.011,0.984,-2.661,1.97,2.002,1.63,1.586,0.536
2015-03-09,1.011,0.981,-3.006,2.003,2.025,1.093,1.606,0.062
2015-03-10,1.012,0.984,-2.719,2.029,2.028,-0.059,1.622,-0.721
2015-03-11,1.012,0.983,-2.837,2.028,2.02,-0.404,1.622,-1.011
2015-03-12,1.012,0.989,-2.263,2.026,2.025,-0.044,1.62,-0.599
2015-03-13,1.012,0.989,-2.273,2.061,2.048,-0.645,1.642,-1.048
2015-03-16,1.013,0.996,-1.63,2.14,2.12,-0.925,1.689,-1.095
2015-03-17,1.013,1.002,-1.057,2.182,2.174,-0.385,1.715,-0.542
2015-03-18,1.013,1.003,-0.977,2.221,2.22,-0.041,1.738,-0.259
2015-03-19,1.013,1.001,-1.185,2.237,2.287,2.244,1.747,1.448
2015-03-20,1.013,0.998,-1.5,2.269,2.288,0.86,1.766,0.317
2015-03-23,1.014,1,-1.351,2.354,2.336,-0.765,1.818,-0.897
2015-03-24,1.014,0.996,-1.765,2.376,2.367,-0.366,1.831,-0.677
2015-03-25,1.014,0.992,-2.17,2.408,2.394,-0.59,1.851,-0.935
2015-03-26,1.014,0.991,-2.288,2.378,2.389,0.454,1.833,-0.153
2015-03-27,1.014,0.991,-2.307,2.41,2.395,-0.631,1.852,-0.999
2015-03-30,1.015,0.986,-2.848,2.455,2.63,7.124,1.879,4.971
2015-03-31,1.015,0.972,-4.246,2.459,2.544,3.461,1.881,1.797
2015-04-01,1.015,0.973,-4.157,2.529,2.552,0.901,1.924,-0.166
2015-04-02,1.015,0.983,-3.191,2.586,2.596,0.371,1.958,-0.368
2015-04-03,1.016,0.982,-3.308,2.621,2.701,3.048,1.979,1.743
2015-04-07,1.016,0.98,-3.562,2.703,2.819,4.311,2.028,2.732
2015-04-08,1,0.976,-2.4,1,2.769,176.9,1,105.18
2015-04-09,1,0.976,-2.42,0.989,2.769,179.98,0.994,106.522
2015-04-10,1,0.971,-2.929,1.026,1.088,6.095,1.015,2.541
2015-04-13,1.001,0.944,-5.675,1.064,1.197,12.542,1.039,5.518
2015-04-14,1.001,0.918,-8.292,1.059,1.317,24.363,1.036,11.74
2015-04-15,1.001,0.915,-8.61,1.019,1.259,23.504,1.012,10.799
2015-04-16,1.001,0.916,-8.519,1.042,1.133,8.702,1.026,1.979
2015-04-17,1.002,0.925,-7.639,1.055,1.091,3.442,1.033,-0.852
2015-04-20,1.002,0.928,-7.385,1.025,1.075,4.899,1.016,0.049
2015-04-21,1.002,0.927,-7.503,1.083,1.11,2.493,1.051,-1.323
2015-04-22,1.002,0.926,-7.612,1.129,1.171,3.72,1.078,-0.492
2015-04-23,1.003,0.925,-7.731,1.143,1.184,3.614,1.087,-0.571
2015-04-24,1.003,0.927,-7.55,1.14,1.174,3.01,1.085,-0.894
2015-04-27,1.003,0.927,-7.596,1.16,1.189,2.509,1.097,-1.185
2015-04-28,1.003,0.924,-7.904,1.109,1.142,3.013,1.067,-1.097
2015-04-29,1.004,0.932,-7.125,1.137,1.171,2.972,1.084,-0.766
2015-04-30,1.004,0.933,-7.044,1.145,1.178,2.927,1.088,-0.754
2015-05-04,1.004,0.93,-7.398,1.16,1.178,1.552,1.098,-1.722
2015-05-05,1.005,0.921,-8.313,1.105,1.145,3.667,1.065,-0.855
2015-05-06,1.005,0.922,-8.231,1.087,1.134,4.333,1.054,-0.455
2015-05-07,1.005,0.917,-8.738,1.047,1.119,6.918,1.03,0.806
2015-05-08,1.005,0.922,-8.259,1.106,1.139,2.965,1.066,-1.267
2015-05-11,1.006,0.924,-8.105,1.186,1.249,5.339,1.114,0.485
2015-05-12,1.006,0.923,-8.223,1.219,1.28,4.987,1.134,0.3
2015-05-13,1.006,0.924,-8.133,1.238,1.275,3.03,1.145,-0.891
2015-05-14,1.006,0.929,-7.654,1.248,1.27,1.787,1.151,-1.512
2015-05-15,1.006,0.938,-6.778,1.242,1.259,1.369,1.148,-1.49
2015-05-18,1.007,0.935,-7.122,1.29,1.298,0.644,1.177,-2.014
2015-05-19,1.007,0.947,-5.94,1.347,1.35,0.215,1.211,-1.833
2015-05-20,1.007,0.94,-6.653,1.376,1.429,3.889,1.228,0.432
2015-05-21,1.007,0.932,-7.466,1.456,1.485,1.999,1.276,-0.987
2015-05-22,1.007,0.932,-7.475,1.486,1.634,9.937,1.295,4.518
2015-05-25,1.008,0.931,-7.621,1.537,1.797,16.954,1.325,9.479
2015-05-26,1.008,0.916,-9.127,1.586,1.977,24.677,1.355,14.617
2015-05-27,1.008,0.873,-13.41,1.606,1.779,10.793,1.367,3.651
2015-05-28,1.008,0.871,-13.617,1.458,1.601,9.838,1.278,2.434
2015-05-29,1.009,0.85,-15.716,1.483,1.548,4.369,1.293,-1.894
2015-06-01,1.009,0.849,-15.857,1.602,1.688,5.388,1.365,-0.894
2015-06-02,1.009,0.849,-15.874,1.696,1.768,4.233,1.421,-1.477
