date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.955,-4.595,0.883,0.98,10.985,0.942,2.707
2015-01-06,1.001,0.955,-4.595,0.901,1.003,11.321,0.951,2.944
2015-01-07,1.001,0.901,-9.99,0.897,0.987,10.033,0.949,-0.527
2015-01-08,1.001,0.9,-10.09,0.873,0.962,10.195,0.937,-0.64
2015-01-09,1.001,0.881,-11.988,0.855,0.966,12.982,0.928,-0.485
2015-01-12,1.002,0.888,-11.377,0.848,0.952,12.264,0.925,-0.541
2015-01-13,1.002,0.89,-11.178,0.862,0.96,11.369,0.932,-0.751
2015-01-14,1.002,0.891,-11.078,0.848,0.949,11.91,0.925,-0.541
2015-01-15,1.002,0.886,-11.577,0.884,0.999,13.009,0.943,-0.053
2015-01-16,1.002,0.886,-11.577,0.898,1.003,11.693,0.95,-0.579
2015-01-19,1.003,0.887,-11.565,0.783,0.903,15.326,0.893,0.224
2015-01-20,1.003,0.887,-11.565,0.821,0.938,14.251,0.912,0.055
2015-01-21,1.003,0.887,-11.565,0.883,0.984,11.438,0.943,-0.795
2015-01-22,1.003,0.887,-11.565,0.903,0.99,9.635,0.953,-1.522
2015-01-23,1.004,0.899,-10.458,0.892,0.985,10.426,0.948,-0.633
2015-01-26,1.004,0.914,-8.964,0.93,1,7.527,0.967,-1.034
2015-01-27,1.004,0.922,-8.167,0.914,0.989,8.206,0.959,-0.365
2015-01-28,1.004,0.91,-9.363,0.888,0.973,9.572,0.946,-0.476
2015-01-29,1.004,0.914,-8.964,0.87,0.952,9.425,0.937,-0.427
2015-01-30,1.005,0.904,-10.05,0.853,0.951,11.489,0.929,-0.161
2015-02-02,1.005,0.893,-11.144,0.827,0.93,12.455,0.916,-0.491
2015-02-03,1.005,0.891,-11.343,0.865,0.976,12.832,0.935,-0.16
2015-02-04,1.005,0.894,-11.045,0.853,0.954,11.841,0.929,-0.538
2015-02-05,1.006,0.89,-11.531,0.842,0.953,13.183,0.924,-0.271
2015-02-06,1.006,0.895,-11.034,0.802,0.921,14.838,0.904,0.442
2015-02-09,1.006,0.898,-10.736,0.804,0.928,15.423,0.905,0.884
2015-02-10,1.006,0.897,-10.835,0.846,0.951,12.411,0.926,-0.216
2015-02-11,1.006,0.9,-10.537,0.866,0.962,11.085,0.936,-0.534
2015-02-12,1.007,0.905,-10.129,0.871,0.966,10.907,0.939,-0.373
2015-02-13,1.007,0.913,-9.335,0.895,0.978,9.274,0.951,-0.578
2015-02-16,1.007,0.921,-8.54,0.929,1,7.643,0.968,-0.775
2015-02-17,1.007,0.928,-7.845,0.943,1.009,6.999,0.975,-0.667
2015-02-25,1.009,0.931,-7.73,0.909,0.982,8.031,0.959,-0.261
2015-02-26,1.009,0.932,-7.631,0.945,1.01,6.878,0.977,-0.614
2015-02-27,1.009,0.94,-6.838,0.955,1.008,5.55,0.982,-0.815
2015-03-02,1.009,0.936,-7.235,0.985,1.044,5.99,0.997,-0.702
2015-03-03,1.01,0.933,-7.624,0.936,1.006,7.479,0.973,-0.36
2015-03-04,1.01,0.938,-7.129,0.962,1.02,6.029,0.986,-0.71
2015-03-05,1.01,0.939,-7.03,0.952,1.009,5.987,0.981,-0.714
2015-03-06,1.01,0.933,-7.624,0.922,0.997,8.134,0.966,-0.104
2015-03-09,1.01,0.936,-7.327,0.946,1.013,7.082,0.978,-0.358
2015-03-10,1.011,0.943,-6.726,0.955,1.009,5.654,0.983,-0.712
2015-03-11,1.011,0.94,-7.023,0.947,1.005,6.125,0.979,-0.664
2015-03-12,1.011,0.94,-7.023,0.957,1.014,5.956,0.984,-0.711
2015-03-13,1.011,0.946,-6.429,0.973,1.024,5.242,0.992,-0.706
2015-03-16,1.012,0.942,-6.917,1.024,1.095,6.934,1.018,0.049
2015-03-17,1.012,0.948,-6.324,1.046,1.098,4.971,1.029,-0.583
2015-03-18,1.012,0.95,-6.126,1.092,1.157,5.952,1.052,0.143
2015-03-19,1.012,0.94,-7.115,1.086,1.151,5.985,1.049,-0.334
2015-03-20,1.012,0.938,-7.312,1.104,1.183,7.156,1.058,0.236
2015-03-23,1.013,0.936,-7.601,1.143,1.232,7.787,1.078,0.557
2015-03-24,1.013,0.936,-7.601,1.155,1.22,5.628,1.084,-0.554
2015-03-25,1.013,0.949,-6.318,1.151,1.19,3.388,1.082,-1.155
2015-03-26,1.013,0.944,-6.811,1.133,1.194,5.384,1.073,-0.373
2015-03-27,1.013,0.947,-6.515,1.157,1.206,4.235,1.085,-0.783
2015-03-30,1.014,0.938,-7.495,1.198,1.29,7.679,1.106,0.723
2015-03-31,1.014,0.93,-8.284,1.196,1.298,8.528,1.105,0.814
2015-04-01,1.014,0.925,-8.777,1.242,1.342,8.052,1.128,0.488
2015-04-02,1.014,0.932,-8.087,1.254,1.34,6.858,1.134,0.176
2015-04-03,1.014,0.932,-8.087,1.276,1.356,6.27,1.145,-0.087
2015-04-07,1.015,0.939,-7.488,1.315,1.372,4.335,1.165,-0.815
2015-04-08,1.015,0.943,-7.094,1.307,1.348,3.137,1.161,-1.335
2015-04-09,1.015,0.958,-5.616,1.287,1.312,1.943,1.151,-1.39
2015-04-10,1.015,0.973,-4.138,1.329,1.356,2.032,1.172,-0.64
2015-04-13,1.016,0.972,-4.331,1.354,1.373,1.403,1.185,-1.055
2015-04-14,1.016,0.975,-4.035,1.346,1.353,0.52,1.181,-1.439
2015-04-15,1.016,0.982,-3.346,1.282,1.301,1.482,1.149,-0.653
2015-04-16,1.016,0.978,-3.74,1.328,1.347,1.431,1.172,-0.811
2015-04-17,1.017,0.976,-4.031,1.353,1.371,1.33,1.185,-0.97
2015-04-20,1.017,0.979,-3.736,1.313,1.326,0.99,1.165,-1.073
2015-04-21,1.017,0.981,-3.54,1.399,1.424,1.787,1.208,-0.455
2015-04-22,1.017,0.966,-5.015,1.455,1.5,3.093,1.236,-0.243
2015-04-23,1.017,0.968,-4.818,1.473,1.504,2.105,1.245,-0.723
2015-04-24,1.018,0.978,-3.929,1.458,1.482,1.646,1.238,-0.646
2015-04-27,1.018,0.978,-3.929,1.478,1.499,1.421,1.248,-0.761
2015-04-28,1.018,0.98,-3.733,1.434,1.455,1.464,1.226,-0.693
2015-04-29,1.018,0.978,-3.929,1.468,1.481,0.886,1.243,-1.086
2015-04-30,1.019,0.985,-3.337,1.457,1.472,1.03,1.238,-0.767
2015-05-04,1.019,0.991,-2.748,1.473,1.475,0.136,1.246,-1.043
2015-05-05,1.019,0.979,-3.925,1.381,1.416,2.534,1.2,-0.208
2015-05-06,1.019,0.973,-4.514,1.369,1.395,1.899,1.194,-0.838
2015-05-07,1.02,0.983,-3.627,1.346,1.376,2.229,1.183,-0.296
2015-05-08,1.02,0.985,-3.431,1.408,1.447,2.77,1.214,0.165
2015-05-11,1.02,0.987,-3.235,1.492,1.504,0.804,1.256,-0.836
2015-05-12,1.02,1,-1.961,1.52,1.506,-0.921,1.27,-1.339
2015-05-13,1.021,1.016,-0.49,1.539,1.505,-2.209,1.28,-1.523
2015-05-14,1.021,1.026,0.49,1.527,1.497,-1.965,1.274,-0.981
2015-05-15,1.021,1.018,-0.294,1.481,1.467,-0.945,1.251,-0.679
2015-05-18,1.021,1.019,-0.196,1.487,1.465,-1.479,1.254,-0.957
2015-05-19,1.022,1.007,-1.468,1.56,1.575,0.962,1.291,0
2015-05-20,1.022,1,-2.153,1.582,1.584,0.126,1.302,-0.768
2015-05-21,1.022,1.004,-1.761,1.662,1.67,0.481,1.342,-0.373
2015-05-22,1.022,1.002,-1.957,1.704,1.707,0.176,1.363,-0.624
2015-05-25,1.022,0.998,-2.348,1.764,1.78,0.907,1.393,-0.287
2015-05-26,1.023,0.995,-2.737,1.839,1.853,0.761,1.431,-0.489
2015-05-27,1.023,0.994,-2.835,1.839,1.825,-0.761,1.431,-1.502
2015-05-28,1.023,0.988,-3.421,1.659,1.694,2.11,1.341,0
2015-05-29,1.023,0.946,-7.527,1.679,1.732,3.157,1.351,-0.888
2015-06-01,1.024,0.944,-7.813,1.802,1.905,5.716,1.413,0.814
2015-06-02,1.024,0.93,-9.18,1.868,1.959,4.872,1.446,-0.104
2015-06-03,1.024,0.939,-8.301,1.87,1.913,2.299,1.447,-1.451
2015-06-04,1.024,0.922,-9.961,1.858,1.96,5.49,1.441,0
2015-06-05,1.024,0.927,-9.473,1.888,1.962,3.919,1.456,-0.79
2015-06-08,1.025,0.926,-9.659,1.893,1.95,3.011,1.459,-1.439
2015-06-09,1.025,0.919,-10.341,1.881,1.944,3.349,1.453,-1.48
2015-06-10,1.025,0.92,-10.244,1.907,1.978,3.723,1.466,-1.16
2015-06-11,1.025,0.922,-10.049,1.923,1.991,3.536,1.474,-1.187
2015-06-12,1.025,0.922,-10.049,1.949,2.005,2.873,1.487,-1.58
2015-06-15,1.026,0.923,-10.039,1.896,1.974,4.114,1.461,-0.856
2015-06-16,1.026,0.918,-10.526,1.804,1.907,5.71,1.415,-0.177
2015-06-17,1.026,0.908,-11.501,1.842,1.958,6.298,1.434,-0.07
2015-06-18,1.026,0.891,-13.158,1.738,1.883,8.343,1.382,0.362
2015-06-19,1.026,0.85,-17.154,1.576,1.821,15.546,1.301,2.652
2015-06-23,1.027,0.842,-18.014,1.661,1.932,16.315,1.344,3.199
2015-06-24,1.027,0.842,-18.014,1.709,1.935,13.224,1.368,1.499
2015-06-25,1.027,0.827,-19.474,1.613,1.825,13.143,1.32,0.455
2015-06-26,1.027,0.825,-19.669,1.409,1.644,16.678,1.218,1.355
2015-06-29,1.028,0.809,-21.304,1.306,1.678,28.484,1.167,6.555
