date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,1.079,7.792,1.598,1.578,-1.231,1.359,1.428
2015-01-06,1.001,1.079,7.792,1.616,1.605,-0.681,1.37,1.796
2015-01-07,1.001,1.035,3.397,1.616,1.61,-0.371,1.37,0.73
2015-01-08,1.001,1.039,3.796,1.586,1.607,1.324,1.352,2.056
2015-01-09,1.002,1.008,0.599,1.56,1.611,3.269,1.337,2.453
2015-01-12,1.002,1.006,0.399,1.542,1.598,3.632,1.326,2.655
2015-01-13,1.002,1.006,0.399,1.559,1.594,2.245,1.336,1.707
2015-01-14,1.002,0.997,-0.499,1.544,1.575,2.008,1.327,1.266
2015-01-15,1.003,0.995,-0.798,1.578,1.6,1.394,1.348,0.742
2015-01-16,1.003,0.99,-1.296,1.608,1.612,0.249,1.366,-0.205
2015-01-19,1.003,0.974,-2.891,1.481,1.599,7.968,1.29,4.574
2015-01-20,1.003,0.996,-0.698,1.538,1.598,3.901,1.324,2.508
2015-01-21,1.004,0.99,-1.394,1.611,1.67,3.662,1.368,2.193
2015-01-22,1.004,1.009,0.498,1.616,1.714,6.064,1.371,4.449
2015-01-23,1.004,1.01,0.598,1.612,1.66,2.978,1.369,2.264
2015-01-26,1.004,1,-0.398,1.622,1.637,0.925,1.375,0.524
2015-01-27,1.005,0.998,-0.697,1.628,1.632,0.246,1.379,-0.044
2015-01-28,1.005,1.028,2.289,1.602,1.619,1.061,1.363,1.438
2015-01-29,1.005,1.01,0.498,1.58,1.589,0.57,1.35,0.548
2015-01-30,1.005,1.01,0.498,1.553,1.596,2.769,1.334,2.069
2015-02-02,1.006,0.999,-0.696,1.524,1.577,3.478,1.317,2.187
2015-02-03,1.006,1.008,0.199,1.564,1.596,2.046,1.341,1.477
2015-02-04,1.006,1.006,0,1.543,1.598,3.564,1.328,2.5
2015-02-05,1.006,1.005,-0.099,1.524,1.592,4.462,1.317,3.052
2015-02-06,1.006,0.987,-1.889,1.481,1.578,6.55,1.291,3.919
2015-02-09,1.007,0.994,-1.291,1.485,1.574,5.993,1.294,3.709
2015-02-10,1.007,0.994,-1.291,1.527,1.609,5.37,1.319,3.336
2015-02-11,1.007,1,-0.695,1.555,1.575,1.286,1.336,0.674
2015-02-12,1.007,0.996,-1.092,1.564,1.546,-1.151,1.341,-1.119
2015-02-13,1.008,1.029,2.083,1.59,1.562,-1.761,1.357,-0.604
2015-02-16,1.008,1.034,2.579,1.633,1.608,-1.531,1.383,-0.333
2015-02-17,1.008,1.052,4.365,1.645,1.618,-1.641,1.39,0.115
2015-02-25,1.01,1.039,2.871,1.623,1.608,-0.924,1.378,0.174
2015-02-26,1.01,1.041,3.069,1.67,1.62,-2.994,1.406,-1.252
2015-02-27,1.01,1.066,5.545,1.685,1.64,-2.671,1.415,-0.325
2015-03-02,1.01,1.095,8.416,1.723,1.68,-2.496,1.438,0.556
2015-03-03,1.011,1.069,5.737,1.679,1.68,0.06,1.412,1.671
2015-03-04,1.011,1.07,5.836,1.711,1.683,-1.636,1.431,0.475
2015-03-05,1.011,1.035,2.374,1.701,1.703,0.118,1.425,0.758
2015-03-06,1.011,1.065,5.341,1.674,1.704,1.792,1.409,2.796
2015-03-09,1.012,1.058,4.545,1.695,1.709,0.826,1.422,1.871
2015-03-10,1.012,1.055,4.249,1.709,1.736,1.58,1.43,2.35
2015-03-11,1.012,1.038,2.569,1.702,1.74,2.233,1.426,2.328
