date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.0202,1.045,2.431,1.3938,1.385,-0.631,1.207,0.663
2015-01-06,1.0204,1.079,5.743,1.4402,1.524,5.819,1.2303,5.787
2015-01-07,1.0206,1.078,5.624,1.4258,1.639,14.953,1.2232,11.061
2015-01-08,1.0208,1.026,0.509,1.4284,1.536,7.533,1.2246,4.606
2015-01-09,1.021,1.011,-0.979,1.42,1.449,2.042,1.2205,0.778
2015-01-12,1.0215,1.018,-0.343,1.4245,1.395,-2.071,1.223,-1.349
2015-01-13,1.0217,1.017,-0.46,1.4839,1.511,1.826,1.2528,0.894
2015-01-14,1.0219,1.016,-0.577,1.4671,1.485,1.22,1.2445,0.482
2015-01-15,1.0221,1.02,-0.205,1.4693,1.51,2.77,1.2457,1.549
2015-01-16,1.0223,1.021,-0.127,1.5091,1.55,2.71,1.2657,1.564
2015-01-19,1.0229,1.026,0.303,1.4481,1.548,6.899,1.2355,4.168
2015-01-20,1.0231,1.03,0.674,1.5269,1.66,8.717,1.275,5.49
2015-01-21,1.0233,1.027,0.362,1.5645,1.77,13.135,1.2939,8.084
2015-01-22,1.0234,1.022,-0.137,1.5758,1.73,9.786,1.2996,5.879
2015-01-23,1.0236,1.022,-0.156,1.5488,1.562,0.852,1.2862,0.451
2015-01-26,1.0242,1.033,0.859,1.5972,1.59,-0.451,1.3107,0.061
2015-01-27,1.0244,1.034,0.937,1.6054,1.581,-1.52,1.3149,-0.563
2015-01-28,1.0246,1.038,1.308,1.5774,1.546,-1.991,1.301,-0.692
2015-01-29,1.0248,1.036,1.093,1.5646,1.526,-2.467,1.2947,-1.058
2015-01-30,1.025,1.034,0.878,1.525,1.507,-1.18,1.275,-0.353
2015-02-02,1.0255,1.033,0.731,1.5147,1.484,-2.027,1.2701,-0.913
2015-02-03,1.0257,1.035,0.907,1.5827,1.55,-2.066,1.3042,-0.897
2015-02-04,1.0259,1.035,0.887,1.5733,1.55,-1.481,1.2996,-0.546
2015-02-05,1.0261,1.038,1.16,1.5685,1.55,-1.179,1.2973,-0.254
2015-02-06,1.0263,1.039,1.237,1.5161,1.482,-2.249,1.2712,-0.842
2015-02-09,1.0269,1.047,1.957,1.5039,1.459,-2.986,1.2654,-0.98
2015-02-10,1.0271,1.05,2.23,1.5633,1.519,-2.834,1.2952,-0.826
2015-02-11,1.0272,1.059,3.096,1.5962,1.547,-3.082,1.3117,-0.663
2015-02-12,1.0274,1.065,3.66,1.6098,1.55,-3.715,1.3186,-0.842
2015-02-13,1.0276,1.07,4.126,1.6494,1.584,-3.965,1.3385,-0.859
2015-02-16,1.0282,1.069,3.968,1.7234,1.665,-3.389,1.3758,-0.64
2015-02-17,1.0284,1.07,4.045,1.733,1.662,-4.097,1.3807,-1.065
2015-02-25,1.0299,1.079,4.767,1.7105,1.641,-4.063,1.3702,-0.744
2015-02-26,1.0301,1.08,4.844,1.7313,1.659,-4.176,1.3807,-0.811
2015-02-27,1.0303,1.082,5.018,1.7553,1.68,-4.29,1.3928,-0.847
2015-03-02,1.0309,1.097,6.412,1.7973,1.711,-4.802,1.4141,-0.714
2015-03-03,1.0311,1.101,6.779,1.7591,1.666,-5.292,1.3951,-0.831
2015-03-04,1.0312,1.113,7.933,1.806,1.697,-6.035,1.4186,-0.959
2015-03-05,1.0314,1.113,7.912,1.8202,1.706,-6.274,1.4258,-1.143
2015-03-06,1.0316,1.11,7.6,1.7598,1.653,-6.069,1.3957,-1.017
2015-03-09,1.0322,1.117,8.215,1.7992,1.692,-5.958,1.4157,-0.791
