date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.0491,0.888,-15.356,1.1839,1.317,11.243,1.1165,-1.254
2015-01-06,1.0493,0.885,-15.658,1.1637,1.3,11.713,1.1065,-1.265
2015-01-07,1.0495,0.885,-15.674,1.2263,1.355,10.495,1.1379,-1.573
2015-01-08,1.0496,0.887,-15.492,1.1478,1.3,13.26,1.0987,-0.473
2015-01-09,1.0498,0.88,-16.175,1.1368,1.294,13.828,1.0933,-0.576
2015-01-12,1.0503,0.878,-16.405,1.0957,1.261,15.086,1.073,-0.326
2015-01-13,1.0505,0.877,-16.516,1.0335,1.215,17.562,1.042,0.384
2015-01-14,1.0506,0.88,-16.238,1.0626,1.224,15.189,1.0566,-0.435
2015-01-15,1.0508,0.887,-15.588,1.128,1.278,13.298,1.0894,-0.633
2015-01-16,1.051,0.888,-15.509,1.1072,1.265,14.252,1.0791,-0.241
2015-01-19,1.0515,0.908,-13.647,0.9077,1.139,25.482,0.9796,4.481
2015-01-20,1.0516,0.895,-14.892,0.7682,1.033,34.47,0.9099,5.946
2015-01-21,1.0518,0.891,-15.288,0.8934,1.116,24.916,0.9726,3.177
2015-01-22,1.0519,0.888,-15.581,0.9041,1.081,19.566,0.978,0.665
2015-01-23,1.0521,0.894,-15.027,0.9393,1.099,17.002,0.9957,0.08
2015-01-26,1.0526,0.902,-14.307,0.924,1.084,17.316,0.9883,0.476
2015-01-27,1.0528,0.906,-13.944,0.8992,1.048,16.548,0.976,0.102
2015-01-28,1.0529,0.908,-13.762,0.9015,1.052,16.694,0.9772,0.287
2015-01-29,1.0531,0.901,-14.443,0.8525,1.017,19.296,0.9528,0.651
2015-01-30,1.0533,0.9,-14.554,0.8243,1.015,23.135,0.9388,1.992
2015-02-02,1.0538,0.895,-15.069,0.772,0.966,25.13,0.9129,1.928
2015-02-03,1.0539,0.897,-14.888,0.8509,1.003,17.875,0.9524,-0.252
2015-02-04,1.0541,0.901,-14.524,0.8245,0.977,18.496,0.9393,-0.032
2015-02-05,1.0542,0.903,-14.343,0.8302,0.979,17.923,0.9422,-0.127
2015-02-06,1.0544,0.903,-14.359,0.8394,0.977,16.393,0.9469,-0.729
2015-02-09,1.0549,0.915,-13.262,0.9213,1.048,13.752,0.9881,-0.668
2015-02-10,1.0551,0.916,-13.184,0.9443,1.063,12.57,0.9997,-1.02
2015-02-11,1.0552,0.92,-12.813,0.947,1.066,12.566,1.0011,-0.809
2015-02-12,1.0554,0.926,-12.261,0.9354,1.056,12.893,0.9954,-0.442
2015-02-13,1.0556,0.93,-11.898,0.9314,1.063,14.129,0.9935,0.302
2015-02-16,1.0561,0.929,-12.035,0.9235,1.055,14.239,0.9898,0.222
2015-02-17,1.0562,0.929,-12.043,0.94,1.074,14.255,0.9981,0.341
2015-02-25,1.0575,0.921,-12.908,0.8973,1.038,15.68,0.9774,0.215
2015-02-26,1.0577,0.919,-13.113,0.9877,1.129,14.306,1.0227,0.127
2015-02-27,1.0579,0.922,-12.846,0.9723,1.11,14.162,1.0151,0.089
2015-03-02,1.0584,0.916,-13.454,0.9984,1.136,13.782,1.0284,-0.233
2015-03-03,1.0585,0.908,-14.218,0.9177,1.077,17.359,0.9881,0.445
2015-03-04,1.0587,0.913,-13.762,0.9109,1.068,17.247,0.9848,0.579
2015-03-05,1.0588,0.914,-13.676,0.9152,1.067,16.587,0.987,0.355
2015-03-06,1.059,0.918,-13.314,0.9018,1.052,16.656,0.9804,0.469
2015-03-09,1.0595,0.912,-13.922,0.8609,1.021,18.597,0.9602,0.656
2015-03-10,1.0597,0.913,-13.844,0.8595,1.013,17.859,0.9596,0.354
2015-03-11,1.0598,0.915,-13.663,0.8606,1.009,17.244,0.9602,0.187
2015-03-12,1.06,0.917,-13.491,0.9042,1.039,14.908,0.9821,-0.417
2015-03-13,1.0001,0.917,-8.309,0.9099,1.053,15.727,0.955,3.141
2015-03-16,1.0006,0.9,-10.054,0.9516,1.099,15.49,0.9761,2.397
2015-03-17,1.0007,0.875,-12.561,1.0057,1.132,12.558,1.0032,0.03
2015-03-18,1.0009,0.883,-11.779,1.0401,1.159,11.432,1.0205,0.049
2015-03-19,1.001,0.882,-11.888,1.03,1.152,11.845,1.0155,0.148
2015-03-20,1.0012,0.88,-12.105,1.1568,1.262,9.094,1.079,-0.741
2015-03-23,1.0016,0.872,-12.939,1.197,1.38,15.288,1.0993,2.429
2015-03-24,1.0018,0.86,-14.155,1.1532,1.37,18.8,1.0775,3.48
2015-03-25,1.0019,0.86,-14.163,1.1325,1.33,17.439,1.0672,2.605
2015-03-26,1.0021,0.863,-13.881,1.1209,1.298,15.8,1.0615,1.79
2015-03-27,1.0022,0.856,-14.588,1.1328,1.3,14.76,1.0675,0.984
2015-03-30,1.0027,0.85,-15.229,1.1861,1.348,13.65,1.0944,0.42
2015-03-31,1.0028,0.848,-15.437,1.1898,1.349,13.38,1.0963,0.201
2015-04-01,1.003,0.855,-14.756,1.2578,1.394,10.828,1.1304,-0.522
2015-04-02,1.0031,0.856,-14.665,1.2367,1.38,11.587,1.1199,-0.17
2015-04-03,1.0033,0.862,-14.084,1.3201,1.44,9.083,1.1617,-0.921
2015-04-07,1.0039,0.856,-14.733,1.3543,1.503,10.98,1.1791,0.034
2015-04-08,1.004,0.845,-15.837,1.4606,1.64,12.283,1.2323,0.828
2015-04-09,1.0042,0.846,-15.754,1.455,1.63,12.027,1.2296,0.683
2015-04-10,1.0043,0.841,-16.26,1.4687,1.643,11.868,1.2365,0.445
2015-04-13,1.0048,0.837,-16.7,1.4436,1.614,11.804,1.2242,0.106
2015-04-14,1.0049,0.845,-15.912,1.4593,1.612,10.464,1.2321,-0.292
2015-04-15,1.0051,0.854,-15.033,1.3739,1.52,10.634,1.1895,-0.21
