date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%),,,
2015/4/30,1,0.853,-14.7,0.978,1.13,15.542,0.989,0.253,,,
2015/1/23,1.006,0.856,-14.911,1.172,1.31,11.775,1.089,-0.551,,,
2015/7/17,1.012,0.859,-15.119,0.932,0.959,2.897,0.972,-6.481,,,
2015/7/16,1.012,0.863,-14.723,0.792,0.872,10.101,0.902,-3.825,,,
2015/7/20,1.013,0.866,-14.511,1.017,1.055,3.736,1.015,-5.369,,,
2015/1/26,1.007,0.868,-13.803,1.215,1.338,10.123,1.111,-0.72,,,
2015/2/2,1.008,0.869,-13.79,1.138,1.261,10.808,1.073,-0.746,,,
2015/1/30,1.007,0.871,-13.505,1.133,1.257,10.944,1.07,-0.561,,,
2015/2/3,1.008,0.871,-13.591,1.168,1.287,10.188,1.088,-0.827,,,
2015/2/5,1.008,0.872,-13.492,1.132,1.259,11.219,1.07,-0.421,,,
2015/1/27,1.007,0.873,-13.307,1.225,1.351,10.286,1.116,-0.358,,,
2015/1/29,1.007,0.873,-13.307,1.163,1.278,9.888,1.085,-0.876,,,
2015/2/4,1.008,0.874,-13.294,1.166,1.288,10.463,1.087,-0.552,,,
2015/2/6,1.008,0.874,-13.294,1.076,1.195,11.059,1.042,-0.72,,,
2015/2/10,1.009,0.874,-13.38,1.095,1.212,10.685,1.052,-0.856,,,
2015/1/28,1.007,0.875,-13.108,1.185,1.298,9.536,1.096,-0.867,,,
2015/2/9,1.009,0.875,-13.28,1.065,1.188,11.549,1.037,-0.53,,,
2015/3/3,1.012,0.877,-13.34,1.284,1.415,10.202,1.148,-0.174,,,
2015/2/11,1.009,0.881,-12.686,1.127,1.236,9.672,1.068,-0.89,,,
2015/3/4,1.012,0.881,-12.945,1.308,1.423,8.792,1.16,-0.69,,,
2015/2/12,1.009,0.887,-12.091,1.123,1.23,9.528,1.066,-0.704,,,
2015/3/2,1.012,0.887,-12.352,1.296,1.398,7.87,1.154,-0.997,,,
2015/4/20,1.02,0.887,-13.039,1.846,1.968,6.609,1.433,-0.384,,,
2015/3/5,1.012,0.889,-12.154,1.272,1.37,7.704,1.142,-1.095,,,
2015/2/26,1.011,0.89,-11.968,1.223,1.334,9.076,1.117,-0.448,,,
2015/4/21,1.02,0.89,-12.745,1.912,2.029,6.119,1.466,-0.443,,,
2015/2/13,1.009,0.892,-11.596,1.155,1.255,8.658,1.082,-0.786,,,
2015/2/16,1.01,0.894,-11.485,1.2,1.298,8.167,1.105,-0.814,,,
2015/4/27,1,0.894,-10.6,1,2.19,119,1,54.2,,,
2015/4/28,1,0.894,-10.6,0.934,2.19,134.475,0.967,59.462,,,
2015/2/17,1.01,0.895,-11.386,1.198,1.296,8.18,1.104,-0.77,,,
2015/2/27,1.012,0.895,-11.561,1.272,1.383,8.726,1.142,-0.263,,,
2015/2/25,1.011,0.897,-11.276,1.211,1.31,8.175,1.111,-0.675,,,
2015/3/9,1.013,0.897,-11.451,1.275,1.373,7.686,1.144,-0.787,,,
2015/3/6,1.013,0.898,-11.352,1.237,1.329,7.437,1.125,-1.022,,,
2015/3/10,1.013,0.899,-11.254,1.279,1.367,6.88,1.146,-1.134,,,
2015/4/22,1.02,0.899,-11.863,1.976,2.066,4.555,1.498,-1.035,,,
2015/4/23,1.02,0.9,-11.765,1.97,2.048,3.959,1.495,-1.405,,,
2015/4/24,1.02,0.9,-11.765,1.982,2.091,5.499,1.501,-0.366,,,
2015/4/29,1,0.9,-10,0.972,1.027,5.658,0.986,-2.282,,,
2015/4/17,1.019,0.901,-11.58,1.797,1.923,7.012,1.408,0.284,,,
2015/4/14,1.019,0.905,-11.187,1.713,1.782,4.028,1.366,-1.647,,,
2015/4/16,1.019,0.905,-11.187,1.691,1.781,5.322,1.355,-0.886,,,
2015/4/15,1.019,0.906,-11.089,1.621,1.706,5.244,1.32,-1.061,,,
2015/3/11,1.013,0.91,-10.168,1.257,1.347,7.16,1.135,-0.573,,,
2015/3/12,1.014,0.91,-10.256,1.25,1.338,7.04,1.132,-0.707,,,
2015/4/13,1.018,0.911,-10.511,1.696,1.764,4.009,1.357,-1.437,,,
2015/3/13,1.014,0.912,-10.059,1.274,1.36,6.75,1.144,-0.699,,,
2015/3/26,1.016,0.913,-10.138,1.588,1.696,6.801,1.302,0.192,,,
2015/4/9,1.018,0.914,-10.216,1.594,1.665,4.454,1.306,-1.263,,,
2015/4/10,1.018,0.915,-10.118,1.666,1.74,4.442,1.342,-1.08,,,
2015/3/27,1.016,0.916,-9.843,1.574,1.641,4.257,1.295,-1.274,,,
2015/3/30,1.016,0.917,-9.744,1.594,1.675,5.082,1.305,-0.69,,,
2015/3/31,1.016,0.917,-9.744,1.602,1.679,4.806,1.309,-0.84,,,
2015/3/16,1.014,0.918,-9.467,1.342,1.413,5.291,1.178,-1.061,,,
2015/4/8,1.018,0.925,-9.136,1.632,1.719,5.331,1.325,-0.226,,,
2015/3/17,1.014,0.926,-8.679,1.386,1.445,4.257,1.2,-1.208,,,
2015/4/1,1.017,0.926,-8.948,1.635,1.7,3.976,1.326,-0.98,,,
2015/3/25,1.016,0.931,-8.366,1.552,1.619,4.317,1.284,-0.701,,,
2015/3/24,1.015,0.933,-8.079,1.525,1.583,3.803,1.27,-0.945,,,
2015/3/18,1.014,0.936,-7.692,1.426,1.483,3.997,1.22,-0.861,,,
2015/4/7,1.018,0.936,-8.055,1.712,1.771,3.446,1.365,-0.842,,,
2015/3/19,1.015,0.939,-7.488,1.439,1.482,2.988,1.227,-1.345,,,
2015/4/3,1.017,0.939,-7.67,1.697,1.754,3.359,1.357,-0.774,,,
2015/3/23,1.015,0.94,-7.389,1.497,1.553,3.741,1.256,-0.756,,,
2015/4/2,1.017,0.942,-7.375,1.639,1.681,2.563,1.328,-1.242,,,
2015/3/20,1.015,0.944,-6.995,1.463,1.511,3.281,1.239,-0.928,,,
