date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.0273,0.852,-17.064,1.4693,1.624,10.529,1.2483,-0.825
2015-01-06,1.0275,0.857,-16.594,1.5567,1.699,9.141,1.2921,-1.091
2015-01-07,1.0276,0.856,-16.699,1.528,1.676,9.686,1.2778,-0.923
2015-01-08,1.0278,0.864,-15.937,1.5174,1.673,10.254,1.2726,-0.322
2015-01-09,1.0279,0.866,-15.751,1.4925,1.625,8.878,1.2602,-1.166
2015-01-12,1.0284,0.87,-15.403,1.4426,1.573,9.039,1.2355,-1.133
2015-01-13,1.0286,0.872,-15.225,1.4898,1.618,8.605,1.2592,-1.128
2015-01-14,1.0288,0.872,-15.241,1.495,1.63,9.03,1.2619,-0.864
2015-01-15,1.0289,0.868,-15.638,1.5097,1.656,9.691,1.2693,-0.575
2015-01-16,1.0291,0.868,-15.654,1.5471,1.684,8.849,1.2881,-0.939
2015-01-19,1.0296,0.877,-14.821,1.4472,1.58,9.176,1.2384,-0.799
2015-01-20,1.0298,0.879,-14.644,1.5388,1.667,8.331,1.2843,-0.88
2015-01-21,1.0299,0.881,-14.458,1.6067,1.72,7.052,1.3183,-1.35
2015-01-22,1.0301,0.882,-14.377,1.7263,1.85,7.166,1.3782,-0.885
2015-01-23,1.0302,0.889,-13.706,1.6644,1.787,7.366,1.3473,-0.69
2015-01-26,1.0307,0.889,-13.748,1.7163,1.833,6.8,1.3735,-0.91
2015-01-27,1.0309,0.894,-13.28,1.7289,1.85,7.004,1.3799,-0.573
2015-01-28,1.0311,0.9,-12.715,1.6805,1.788,6.397,1.3558,-0.87
2015-01-29,1.0312,0.899,-12.82,1.6512,1.761,6.65,1.3412,-0.835
2015-01-30,1.0314,0.889,-13.806,1.6162,1.744,7.907,1.3238,-0.551
2015-02-02,1.0319,0.894,-13.364,1.6223,1.742,7.378,1.3271,-0.686
2015-02-03,1.0321,0.898,-12.993,1.6581,1.775,7.05,1.3451,-0.639
2015-02-04,1.0322,0.9,-12.808,1.6568,1.772,6.953,1.3445,-0.632
2015-02-05,1.0324,0.902,-12.631,1.616,1.724,6.683,1.3242,-0.846
