date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.003,0.835,-16.75,1.135,1.317,16.035,1.069,0.655
2015-01-06,1.003,0.832,-17.049,1.199,1.395,16.347,1.101,1.135
2015-01-07,1.004,0.836,-16.733,1.192,1.39,16.611,1.098,1.366
2015-01-08,1.004,0.836,-16.733,1.192,1.36,14.094,1.098,0
2015-01-09,1.004,0.837,-16.633,1.192,1.32,10.738,1.098,-1.776
2015-01-12,1.004,0.835,-16.833,1.216,1.357,11.595,1.11,-1.261
2015-01-13,1.005,0.836,-16.816,1.249,1.393,11.529,1.127,-1.109
2015-01-14,1.005,0.836,-16.816,1.237,1.382,11.722,1.121,-1.07
2015-01-15,1.005,0.841,-16.318,1.253,1.389,10.854,1.129,-1.24
2015-01-16,1.005,0.843,-16.119,1.329,1.47,10.609,1.167,-0.9
2015-01-19,1.005,0.845,-15.92,1.271,1.419,11.644,1.138,-0.527
2015-01-20,1.006,0.849,-15.606,1.362,1.494,9.692,1.184,-1.056
2015-01-21,1.006,0.848,-15.706,1.402,1.55,10.556,1.204,-0.415
2015-01-22,1.006,0.847,-15.805,1.424,1.567,10.042,1.215,-0.658
2015-01-23,1.006,0.855,-15.01,1.364,1.498,9.824,1.185,-0.717
2015-01-26,1.007,0.862,-14.399,1.435,1.561,8.78,1.221,-0.778
2015-01-27,1.007,0.868,-13.803,1.455,1.576,8.316,1.231,-0.731
2015-01-28,1.007,0.868,-13.803,1.425,1.546,8.491,1.216,-0.74
2015-01-29,1.007,0.875,-13.108,1.413,1.524,7.856,1.21,-0.868
2015-01-30,1.007,0.875,-13.108,1.369,1.486,8.546,1.188,-0.631
2015-02-02,1.008,0.861,-14.583,1.376,1.515,10.102,1.192,-0.336
2015-02-03,1.008,0.867,-13.988,1.462,1.589,8.687,1.235,-0.567
2015-02-04,1.008,0.873,-13.393,1.458,1.575,8.025,1.233,-0.73
2015-02-05,1.008,0.871,-13.591,1.482,1.602,8.097,1.245,-0.683
2015-02-06,1.008,0.878,-12.897,1.426,1.531,7.363,1.217,-1.027
2015-02-09,1.009,0.878,-12.983,1.409,1.525,8.233,1.209,-0.62
2015-02-10,1.009,0.877,-13.082,1.469,1.585,7.897,1.239,-0.646
2015-02-11,1.009,0.877,-13.082,1.531,1.65,7.773,1.27,-0.512
2015-02-12,1.009,0.88,-12.785,1.555,1.666,7.138,1.282,-0.702
2015-02-13,1.009,0.886,-12.19,1.587,1.682,5.986,1.298,-1.079
2015-02-16,1.01,0.893,-11.584,1.682,1.797,6.837,1.346,-0.074
2015-02-17,1.01,0.898,-11.089,1.69,1.79,5.917,1.35,-0.444
2015-02-25,1.011,0.893,-11.672,1.643,1.754,6.756,1.327,-0.264
2015-02-26,1.011,0.903,-10.682,1.659,1.75,5.485,1.335,-0.637
2015-02-27,1.012,0.914,-9.684,1.708,1.788,4.684,1.36,-0.662
2015-03-02,1.012,0.913,-9.783,1.766,1.858,5.21,1.389,-0.252
2015-03-03,1.012,0.904,-10.672,1.728,1.82,5.324,1.37,-0.584
2015-03-04,1.012,0.903,-10.771,1.778,1.86,4.612,1.395,-0.968
2015-03-05,1.012,0.908,-10.277,1.774,1.85,4.284,1.393,-1.005
2015-03-06,1.013,0.902,-10.958,1.695,1.775,4.72,1.354,-1.145
