date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.95,-5.095,1.299,1.4,7.775,1.15,2.174
2015-01-06,1.001,0.95,-5.095,1.295,1.368,5.637,1.148,0.958
2015-01-07,1.001,0.901,-9.99,1.279,1.348,5.395,1.14,-1.36
2015-01-08,1.001,0.896,-10.49,1.231,1.303,5.849,1.116,-1.478
2015-01-09,1.002,0.892,-10.978,1.232,1.32,7.143,1.117,-0.985
2015-01-12,1.002,0.889,-11.277,1.22,1.312,7.541,1.111,-0.945
2015-01-13,1.002,0.887,-11.477,1.228,1.317,7.248,1.115,-1.166
2015-01-14,1.002,0.891,-11.078,1.232,1.32,7.143,1.117,-1.03
2015-01-15,1.003,0.9,-10.269,1.287,1.37,6.449,1.145,-0.873
2015-01-16,1.003,0.902,-10.07,1.303,1.385,6.293,1.153,-0.824
2015-01-19,1.003,0.91,-9.272,1.149,1.247,8.529,1.076,0.232
2015-01-20,1.003,0.912,-9.073,1.195,1.269,6.192,1.099,-0.773
2015-01-21,1.004,0.913,-9.064,1.274,1.35,5.965,1.139,-0.658
2015-01-22,1.004,0.915,-8.865,1.28,1.348,5.313,1.142,-0.919
2015-01-23,1.004,0.915,-8.865,1.28,1.345,5.078,1.142,-1.051
2015-01-26,1.004,0.927,-7.669,1.292,1.349,4.412,1.148,-0.871
2015-01-27,1.005,0.929,-7.562,1.265,1.328,4.98,1.135,-0.573
2015-01-28,1.005,0.93,-7.463,1.231,1.308,6.255,1.118,0.089
2015-01-29,1.005,0.925,-7.96,1.205,1.273,5.643,1.105,-0.543
2015-01-30,1.005,0.924,-8.06,1.193,1.28,7.293,1.099,0.273
2015-02-02,1.006,0.923,-8.25,1.164,1.24,6.529,1.085,-0.323
2015-02-03,1.006,0.926,-7.952,1.204,1.278,6.146,1.105,-0.271
2015-02-04,1.006,0.924,-8.151,1.178,1.248,5.942,1.092,-0.549
2015-02-05,1.006,0.926,-7.952,1.17,1.25,6.838,1.088,0
2015-02-06,1.006,0.924,-8.151,1.134,1.232,8.642,1.07,0.748
2015-02-09,1.007,0.93,-7.646,1.143,1.216,6.387,1.075,-0.186
2015-02-10,1.007,0.93,-7.646,1.183,1.238,4.649,1.095,-1.005
2015-02-11,1.007,0.935,-7.15,1.195,1.26,5.439,1.101,-0.318
2015-02-12,1.007,0.946,-6.058,1.203,1.259,4.655,1.105,-0.226
2015-02-13,1.008,0.952,-5.556,1.222,1.271,4.01,1.115,-0.314
2015-02-16,1.008,0.951,-5.655,1.236,1.27,2.751,1.122,-1.025
2015-02-17,1.008,0.959,-4.861,1.254,1.283,2.313,1.131,-0.884
2015-02-25,1.01,0.951,-5.842,1.228,1.261,2.687,1.119,-1.162
