date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,1.097,9.59,1.4494,1.39,-4.098,1.2252,1.494
2015-01-06,1.0012,1.097,9.569,1.4642,1.38,-5.751,1.2327,0.471
2015-01-07,1.0014,1.035,3.355,1.4518,1.377,-5.152,1.2266,-1.679
2015-01-08,1.0016,1.038,3.634,1.414,1.35,-4.526,1.2078,-1.143
2015-01-09,1.0018,1.04,3.813,1.4064,1.35,-4.01,1.2041,-0.756
2015-01-12,1.0024,1.037,3.452,1.4084,1.347,-4.36,1.2054,-1.112
2015-01-13,1.0026,1.046,4.329,1.4304,1.36,-4.922,1.2165,-1.11
2015-01-14,1.0028,1.042,3.909,1.404,1.345,-4.202,1.2034,-0.823
2015-01-15,1.003,1.055,5.184,1.463,1.386,-5.263,1.233,-1.014
2015-01-16,1.0032,1.061,5.762,1.4788,1.406,-4.923,1.241,-0.604
2015-01-19,1.0038,1.064,5.997,1.3178,1.28,-2.868,1.1608,0.965
2015-01-20,1.004,1.065,6.076,1.3772,1.302,-5.46,1.1906,-0.596
2015-01-21,1.0042,1.071,6.652,1.468,1.377,-6.199,1.2361,-0.979
2015-01-22,1.0044,1.075,7.029,1.481,1.38,-6.82,1.2427,-1.223
2015-01-23,1.0046,1.08,7.505,1.4808,1.38,-6.807,1.2427,-1.022
2015-01-26,1.0052,1.094,8.834,1.5034,1.399,-6.944,1.2543,-0.622
2015-01-27,1.0054,1.093,8.713,1.481,1.381,-6.752,1.2432,-0.499
2015-01-28,1.0056,1.087,8.095,1.4362,1.362,-5.166,1.2209,0.295
2015-01-29,1.0058,1.075,6.88,1.4056,1.338,-4.809,1.2057,0.066
2015-01-30,1.006,1.078,7.157,1.3768,1.327,-3.617,1.1914,0.932
2015-02-02,1.0066,1.07,6.298,1.3262,1.318,-0.618,1.1664,2.366
2015-02-03,1.0068,1.078,7.072,1.3726,1.323,-3.614,1.1897,0.908
2015-02-04,1.007,1.073,6.554,1.3494,1.291,-4.328,1.1782,0.323
2015-02-05,1.0072,1.075,6.732,1.3242,1.295,-2.205,1.1657,1.656
2015-02-06,1.0073,1.079,7.118,1.2921,1.255,-2.871,1.1497,1.505
2015-02-09,1.0079,1.08,7.153,1.3013,1.255,-3.558,1.1546,1.117
2015-02-10,1.0081,1.083,7.43,1.3453,1.268,-5.746,1.1767,-0.102
2015-02-11,1.0083,1.085,7.607,1.3567,1.28,-5.653,1.1825,0
2015-02-12,1.0085,1.098,8.875,1.3629,1.28,-6.083,1.1857,0.278
