date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-06-05,1.001,0.901,-9.99,1.053,1.165,10.636,1.027,0.584
2015-06-08,1.002,0.811,-19.062,1.02,1.282,25.686,1.011,3.511
2015-06-09,1.002,0.777,-22.455,1.008,1.317,30.655,1.005,4.179
2015-06-10,1.002,0.774,-22.754,1.054,1.271,20.588,1.028,-0.535
2015-06-11,1.002,0.783,-21.856,1.106,1.304,17.902,1.054,-0.996
2015-06-12,1.002,0.783,-21.856,1.122,1.294,15.33,1.062,-2.213
2015-06-15,1.003,0.784,-21.834,1.023,1.247,21.896,1.013,0.247
2015-06-16,1.003,0.782,-22.034,0.927,1.165,25.674,0.965,0.881
2015-06-17,1.003,0.78,-22.233,0.959,1.171,22.106,0.981,-0.561
2015-06-18,1.003,0.781,-22.134,0.879,1.09,24.005,0.941,-0.584
2015-06-19,1.003,0.782,-22.034,0.785,1.002,27.643,0.894,-0.224
2015-06-23,1.004,0.779,-22.41,0.806,1.027,27.419,0.905,-0.221
2015-06-24,1.004,0.781,-22.211,0.834,1.036,24.221,0.919,-1.143
2015-06-25,1.004,0.792,-21.116,0.798,0.995,24.687,0.901,-0.832
2015-06-26,1.004,0.815,-18.825,0.668,0.896,34.132,0.836,2.333
2015-06-29,1.005,0.798,-20.597,0.533,0.806,51.22,0.769,4.291
2015-06-30,1.005,0.773,-23.085,0.639,0.875,36.933,0.822,0.243
2015-07-01,1.005,0.79,-21.393,0.565,0.79,39.823,0.785,0.637
2015-07-02,1.005,0.779,-22.488,0.477,0.714,49.686,0.741,0.742
2015-07-03,1.005,0.811,-19.303,0.399,0.643,61.153,0.702,3.561
2015-07-06,1.006,0.829,-17.594,0.336,0.579,72.321,0.671,4.918
2015-07-07,1.006,0.85,-15.507,0.258,0.521,101.938,0.632,8.465
2015-07-08,1.006,0.774,-23.062,0.212,0.469,121.226,0.609,2.053
2015-07-09,1,0.851,-14.9,1,0.453,-54.7,1,-34.8
2015-07-10,1,0.851,-14.9,1.086,0.453,-58.287,1.043,-37.488
2015-07-13,1.001,0.9,-10.09,1.215,1.195,-1.646,1.108,-5.46
2015-07-14,1.001,0.836,-16.484,1.351,1.315,-2.665,1.176,-8.546
2015-07-15,1.001,0.848,-15.285,1.211,1.333,10.074,1.106,-1.401
2015-07-16,1.001,0.863,-13.786,1.291,1.341,3.873,1.146,-3.839
2015-07-17,1.001,0.866,-13.487,1.451,1.475,1.654,1.226,-4.527
2015-07-20,1.002,0.853,-14.87,1.496,1.601,7.019,1.249,-1.761
2015-07-21,1.002,0.848,-15.369,1.574,1.732,10.038,1.288,0.155
2015-07-22,1.002,0.827,-17.465,1.584,1.791,13.068,1.293,1.237
2015-07-23,1.002,0.82,-18.164,1.664,1.801,8.233,1.333,-1.688
2015-07-24,1.002,0.835,-16.667,1.612,1.755,8.871,1.307,-0.918
