date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.004,0.9,-10.359,1.678,1.762,5.006,1.341,-0.746
2015-01-06,1.004,0.901,-10.259,1.67,1.746,4.551,1.337,-1.01
2015-01-07,1.004,0.904,-9.96,1.68,1.748,4.048,1.342,-1.192
2015-01-08,1.004,0.906,-9.761,1.628,1.693,3.993,1.316,-1.254
2015-01-09,1.004,0.912,-9.163,1.6,1.68,5,1.302,-0.461
2015-01-12,1.005,0.91,-9.453,1.563,1.634,4.543,1.284,-0.935
2015-01-13,1.005,0.912,-9.254,1.565,1.64,4.792,1.285,-0.7
2015-01-14,1.005,0.909,-9.552,1.547,1.614,4.331,1.276,-1.136
2015-01-15,1.005,0.914,-9.055,1.611,1.679,4.221,1.308,-0.879
2015-01-16,1.005,0.914,-9.055,1.627,1.695,4.179,1.316,-0.874
2015-01-19,1.006,0.915,-9.046,1.438,1.526,6.12,1.222,-0.123
2015-01-20,1.006,0.92,-8.549,1.466,1.536,4.775,1.236,-0.647
2015-01-21,1.006,0.917,-8.847,1.57,1.633,4.013,1.288,-1.009
2015-01-22,1.007,0.921,-8.54,1.607,1.667,3.734,1.307,-0.995
2015-01-23,1.007,0.924,-8.242,1.607,1.669,3.858,1.307,-0.803
2015-01-26,1.007,0.938,-6.852,1.643,1.683,2.435,1.325,-1.094
2015-01-27,1.007,0.94,-6.653,1.631,1.689,3.556,1.319,-0.341
2015-01-28,1.008,0.938,-6.944,1.594,1.648,3.388,1.301,-0.615
2015-01-29,1.008,0.935,-7.242,1.564,1.618,3.453,1.286,-0.739
2015-01-30,1.008,0.935,-7.242,1.534,1.6,4.302,1.271,-0.275
2015-02-02,1.008,0.938,-6.944,1.496,1.533,2.473,1.252,-1.318
2015-02-03,1.009,0.938,-7.037,1.543,1.598,3.564,1.276,-0.627
2015-02-04,1.009,0.939,-6.938,1.523,1.566,2.823,1.266,-1.066
2015-02-05,1.009,0.935,-7.334,1.491,1.546,3.689,1.25,-0.76
2015-02-06,1.009,0.934,-7.433,1.451,1.5,3.377,1.23,-1.057
2015-02-09,1.01,0.932,-7.723,1.466,1.528,4.229,1.238,-0.646
2015-02-10,1.01,0.939,-7.03,1.512,1.557,2.976,1.261,-1.031
2015-02-11,1.01,0.941,-6.832,1.528,1.578,3.272,1.269,-0.749
2015-02-12,1.01,0.948,-6.139,1.528,1.57,2.749,1.269,-0.788
2015-02-13,1.01,0.957,-5.248,1.558,1.586,1.797,1.284,-0.974
2015-02-16,1.011,0.958,-5.242,1.585,1.619,2.145,1.298,-0.732
2015-02-17,1.011,0.962,-4.847,1.605,1.638,2.056,1.308,-0.612
2015-02-25,1.012,0.956,-5.534,1.574,1.616,2.668,1.293,-0.541
2015-02-26,1.013,0.958,-5.429,1.643,1.67,1.643,1.328,-1.054
2015-02-27,1.013,0.962,-5.035,1.655,1.694,2.356,1.334,-0.45
2015-03-02,1.013,0.959,-5.331,1.695,1.716,1.239,1.354,-1.219
2015-03-03,1.013,0.958,-5.429,1.651,1.674,1.393,1.332,-1.201
2015-03-04,1.014,0.961,-5.227,1.674,1.688,0.836,1.344,-1.451
2015-03-05,1.014,0.961,-5.227,1.67,1.69,1.198,1.342,-1.23
2015-03-06,1.014,0.962,-5.128,1.654,1.69,2.177,1.334,-0.6
2015-03-09,1.014,0.966,-4.734,1.674,1.699,1.493,1.344,-0.856
2015-03-10,1.015,0.966,-4.828,1.679,1.701,1.31,1.347,-1.002
2015-03-11,1.015,0.965,-4.926,1.679,1.705,1.549,1.347,-0.891
2015-03-12,1.015,0.967,-4.729,1.711,1.725,0.818,1.363,-1.247
2015-03-13,1.015,0.967,-4.729,1.733,1.752,1.096,1.374,-1.055
2015-03-16,1.016,0.968,-4.724,1.794,1.82,1.449,1.405,-0.783
2015-03-17,1.016,0.99,-2.559,1.828,1.838,0.547,1.422,-0.563
2015-03-18,1.016,0.99,-2.559,1.876,1.879,0.16,1.446,-0.795
2015-03-19,1.016,0.989,-2.657,1.872,1.878,0.321,1.444,-0.727
2015-03-20,1.016,0.988,-2.756,1.92,1.929,0.469,1.468,-0.647
2015-03-23,1.017,0.967,-4.916,1.985,2.087,5.139,1.501,1.732
