date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.1137,0.884,-20.625,0.4263,0.64,50.129,0.77,-1.039
2015-01-06,1.0009,0.884,-11.679,0.4419,0.657,48.676,0.7214,6.806
2015-01-07,1.0011,0.901,-9.999,0.4357,0.635,45.742,0.7184,6.904
2015-01-08,1.0013,0.811,-19.005,0.4153,0.611,47.123,0.7083,0.381
2015-01-09,1.0014,0.777,-22.409,0.3998,0.612,53.077,0.7006,-0.871
2015-01-12,1.0019,0.77,-23.146,0.3943,0.617,56.48,0.6981,-0.659
2015-01-13,1.002,0.771,-23.054,0.4014,0.621,54.709,0.7017,-0.812
2015-01-14,1.0022,0.771,-23.069,0.3886,0.614,58.003,0.6954,-0.417
2015-01-15,1.0024,0.77,-23.184,0.4198,0.65,54.836,0.7111,-0.155
2015-01-16,1.0025,0.77,-23.192,0.4255,0.651,52.996,0.714,-0.49
2015-01-19,1.003,0.768,-23.43,0.3288,0.586,78.224,0.6659,1.667
2015-01-20,1.0032,0.769,-23.345,0.3526,0.591,67.612,0.6779,0.31
2015-01-21,1.0033,0.77,-23.253,0.4005,0.618,54.307,0.7019,-1.126
2015-01-22,1.0035,0.78,-22.272,0.4115,0.62,50.668,0.7075,-1.06
2015-01-23,1.0036,0.786,-21.682,0.4086,0.617,51.003,0.7061,-0.651
2015-01-26,1.0041,0.803,-20.028,0.4333,0.624,44.011,0.7187,-0.724
2015-01-27,1.0043,0.814,-18.949,0.4165,0.608,45.978,0.7104,0.084
2015-01-28,1.0044,0.805,-19.853,0.393,0.593,50.891,0.6987,0.043
2015-01-29,1.0046,0.797,-20.665,0.3806,0.581,52.654,0.6926,-0.52
2015-01-30,1.0047,0.788,-21.569,0.3689,0.583,58.037,0.6868,-0.189
2015-02-02,1.0052,0.791,-21.309,0.3464,0.57,64.55,0.6758,0.695
2015-02-03,1.0054,0.786,-21.822,0.3748,0.59,57.417,0.6901,-0.304
2015-02-04,1.0055,0.787,-21.73,0.3635,0.58,59.56,0.6845,-0.146
2015-02-05,1.0057,0.787,-21.746,0.3579,0.576,60.939,0.6818,-0.044
2015-02-06,1.0058,0.783,-22.152,0.327,0.551,68.502,0.6664,0.09
2015-02-09,1.0063,0.786,-21.892,0.3361,0.557,65.724,0.6712,0.045
2015-02-10,1.0065,0.791,-21.411,0.3687,0.573,55.411,0.6876,-0.814
2015-02-11,1.0066,0.797,-20.823,0.3816,0.583,52.778,0.6941,-0.591
2015-02-12,1.0068,0.801,-20.441,0.386,0.583,51.036,0.6964,-0.632
2015-02-13,1.0069,0.81,-19.555,0.4027,0.595,47.753,0.7048,-0.326
2015-02-16,1.0074,0.815,-19.099,0.4196,0.6,42.993,0.7135,-0.841
2015-02-17,1.0076,0.823,-18.321,0.4338,0.608,40.157,0.7207,-0.722
2015-02-25,1.0088,0.819,-18.814,0.4112,0.591,43.726,0.71,-0.704
2015-02-26,1.009,0.823,-18.434,0.4366,0.61,39.716,0.7228,-0.872
2015-02-27,1.0091,0.823,-18.442,0.4373,0.613,40.178,0.7232,-0.719
2015-03-02,1.0096,0.821,-18.681,0.452,0.63,39.381,0.7308,-0.725
2015-03-03,1.0098,0.811,-19.687,0.4086,0.603,47.577,0.7092,-0.31
2015-03-04,1.0099,0.813,-19.497,0.4233,0.609,43.87,0.7166,-0.781
2015-03-05,1.0101,0.81,-19.81,0.4131,0.6,45.243,0.7116,-0.927
2015-03-06,1.0102,0.811,-19.719,0.393,0.591,50.382,0.7016,-0.086
2015-03-09,1.0107,0.81,-19.858,0.4075,0.6,47.239,0.7091,-0.578
2015-03-10,1.0109,0.812,-19.676,0.4093,0.599,46.347,0.7101,-0.648
2015-03-11,1.011,0.811,-19.782,0.406,0.597,47.044,0.7085,-0.635
2015-03-12,1.0112,0.816,-19.304,0.4194,0.606,44.492,0.7153,-0.601
2015-03-13,1.0113,0.817,-19.213,0.4287,0.612,42.757,0.72,-0.764
2015-03-16,1.0118,0.822,-18.759,0.4666,0.643,37.805,0.7392,-0.906
