date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.003,0.82,-18.245,1.047,1.315,25.597,1.025,4.146
2015-01-06,1.003,0.83,-17.248,1.065,1.287,20.845,1.034,2.369
2015-01-07,1.003,0.825,-17.747,1.059,1.245,17.564,1.031,0.388
2015-01-08,1.004,0.828,-17.53,1.032,1.251,21.221,1.018,2.112
2015-01-09,1.004,0.833,-17.032,1.01,1.23,21.782,1.007,2.433
2015-01-12,1.004,0.829,-17.43,0.986,1.168,18.458,0.995,0.352
2015-01-13,1.004,0.829,-17.43,0.994,1.17,17.706,0.999,0.05
2015-01-14,1.004,0.833,-17.032,0.982,1.144,16.497,0.993,-0.453
2015-01-15,1.005,0.837,-16.716,1.011,1.179,16.617,1.008,0
2015-01-16,1.005,0.838,-16.617,1.029,1.195,16.132,1.017,-0.049
2015-01-19,1.005,0.844,-16.02,0.915,1.113,21.639,0.96,1.927
2015-01-20,1.005,0.846,-15.821,0.955,1.148,20.209,0.98,1.735
2015-01-21,1.006,0.842,-16.302,1.01,1.186,17.426,1.008,0.595
2015-01-22,1.006,0.842,-16.302,1.038,1.206,16.185,1.022,0.196
2015-01-23,1.006,0.846,-15.905,1.032,1.19,15.31,1.019,-0.098
2015-01-26,1.006,0.86,-14.513,1.072,1.224,14.179,1.039,0.289
2015-01-27,1.006,0.866,-13.917,1.078,1.227,13.822,1.042,0.432
2015-01-28,1.007,0.864,-14.201,1.055,1.214,15.071,1.031,0.776
2015-01-29,1.007,0.858,-14.796,1.033,1.194,15.586,1.02,0.588
2015-01-30,1.007,0.854,-15.194,1.011,1.169,15.628,1.009,0.248
2015-02-02,1.007,0.853,-15.293,0.987,1.141,15.603,0.997,0
2015-02-03,1.008,0.856,-15.079,1.016,1.162,14.37,1.012,-0.296
2015-02-04,1.008,0.86,-14.683,1.002,1.141,13.872,1.005,-0.448
2015-02-05,1.008,0.861,-14.583,0.98,1.132,15.51,0.994,0.252
2015-02-06,1.008,0.857,-14.98,0.958,1.108,15.658,0.983,-0.051
2015-02-09,1.008,0.863,-14.385,0.964,1.114,15.56,0.986,0.254
2015-02-10,1.009,0.864,-14.371,0.987,1.127,14.184,0.998,-0.251
2015-02-11,1.009,0.871,-13.677,1.005,1.127,12.139,1.007,-0.794
2015-02-12,1.009,0.879,-12.884,1.015,1.133,11.626,1.012,-0.593
2015-02-13,1.009,0.886,-12.19,1.027,1.146,11.587,1.018,-0.196
2015-02-16,1.01,0.887,-12.178,1.058,1.166,10.208,1.034,-0.725
2015-02-17,1.01,0.891,-11.782,1.078,1.198,11.132,1.044,0.048
2015-02-25,1.011,0.886,-12.364,1.069,1.183,10.664,1.04,-0.529
2015-02-26,1.011,0.883,-12.661,1.109,1.219,9.919,1.06,-0.849
2015-02-27,1.011,0.89,-11.968,1.127,1.232,9.317,1.069,-0.748
2015-03-02,1.012,0.888,-12.253,1.15,1.25,8.696,1.081,-1.11
