date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.949,-5.195,1.013,1.274,25.765,1.007,10.377
2015-01-06,1.001,0.949,-5.195,1.111,1.401,26.103,1.056,11.269
2015-01-07,1.001,0.901,-9.99,1.089,1.455,33.609,1.045,12.727
2015-01-08,1.001,0.9,-10.09,1.101,1.43,29.882,1.051,10.847
2015-01-09,1.001,0.886,-11.489,1.103,1.287,16.682,1.052,3.279
2015-01-12,1.002,0.888,-11.377,1.132,1.221,7.862,1.067,-1.172
2015-01-13,1.002,0.889,-11.277,1.15,1.246,8.348,1.076,-0.79
2015-01-14,1.002,0.901,-10.08,1.132,1.205,6.449,1.067,-1.312
2015-01-15,1.002,0.904,-9.78,1.132,1.212,7.067,1.067,-0.843
2015-01-16,1.003,0.911,-9.172,1.197,1.274,6.433,1.1,-0.682
2015-01-19,1.003,0.921,-8.175,1.183,1.25,5.664,1.093,-0.686
2015-01-20,1.003,0.929,-7.378,1.275,1.333,4.549,1.139,-0.702
2015-01-21,1.003,0.923,-7.976,1.303,1.355,3.991,1.153,-1.214
2015-01-22,1.004,0.938,-6.574,1.328,1.365,2.786,1.166,-1.244
2015-01-23,1.004,0.943,-6.076,1.266,1.315,3.87,1.135,-0.529
2015-01-26,1.004,0.955,-4.88,1.322,1.35,2.118,1.163,-0.903
2015-01-27,1.004,0.971,-3.287,1.326,1.341,1.131,1.165,-0.773
2015-01-28,1.005,0.969,-3.582,1.307,1.325,1.377,1.156,-0.779
2015-01-29,1.005,0.967,-3.781,1.281,1.302,1.639,1.143,-0.744
2015-01-30,1.005,0.97,-3.483,1.241,1.256,1.209,1.123,-0.89
2015-02-02,1.005,0.973,-3.184,1.261,1.28,1.507,1.133,-0.574
2015-02-03,1.006,0.977,-2.883,1.326,1.345,1.433,1.166,-0.429
2015-02-04,1.006,0.983,-2.286,1.332,1.335,0.225,1.169,-0.855
2015-02-05,1.006,0.986,-1.988,1.352,1.357,0.37,1.179,-0.636
2015-02-06,1.006,0.983,-2.286,1.294,1.305,0.85,1.15,-0.522
2015-02-09,1.007,0.977,-2.979,1.265,1.278,1.028,1.136,-0.748
2015-02-10,1.007,0.972,-3.476,1.313,1.338,1.904,1.16,-0.431
2015-02-11,1.007,0.983,-2.383,1.345,1.349,0.297,1.176,-0.85
2015-02-12,1.007,0.993,-1.39,1.365,1.36,-0.366,1.186,-0.801
2015-02-13,1.007,1.008,0.099,1.413,1.39,-1.628,1.21,-0.909
2015-02-16,1.008,1.008,0,1.5,1.488,-0.8,1.254,-0.478
2015-02-17,1.008,1.019,1.091,1.494,1.465,-1.941,1.251,-0.719
2015-02-25,1.009,1.025,1.586,1.469,1.434,-2.383,1.239,-0.767
2015-02-26,1.01,1.025,1.485,1.47,1.45,-1.361,1.24,-0.202
2015-02-27,1.01,1.025,1.485,1.528,1.497,-2.029,1.269,-0.63
2015-03-02,1.01,1.024,1.386,1.598,1.572,-1.627,1.304,-0.46
2015-03-03,1.01,1.018,0.792,1.568,1.534,-2.168,1.289,-1.009
2015-03-04,1.011,1.035,2.374,1.627,1.582,-2.766,1.319,-0.796
2015-03-05,1.011,1.033,2.176,1.635,1.593,-2.569,1.323,-0.756
2015-03-06,1.011,1.03,1.879,1.555,1.517,-2.444,1.283,-0.74
2015-03-09,1.011,1.045,3.363,1.609,1.554,-3.418,1.31,-0.802
2015-03-10,1.012,1.06,4.743,1.67,1.602,-4.072,1.341,-0.746
2015-03-11,1.012,1.06,4.743,1.658,1.59,-4.101,1.335,-0.749
2015-03-12,1.012,1.05,3.755,1.636,1.583,-3.24,1.324,-0.566
2015-03-13,1.012,1.049,3.656,1.7,1.649,-3,1.356,-0.516
2015-03-16,1.013,1.074,6.022,1.795,1.711,-4.68,1.404,-0.819
2015-03-17,1.013,1.07,5.627,1.789,1.7,-4.975,1.401,-1.142
2015-03-18,1.013,1.075,6.12,1.849,1.761,-4.759,1.431,-0.908
2015-03-19,1.013,1.074,6.022,1.855,1.77,-4.582,1.434,-0.837
2015-03-20,1.013,1.075,6.12,1.901,1.809,-4.84,1.457,-1.03
2015-03-23,1.014,1.036,2.17,2.008,1.99,-0.896,1.511,0.132
2015-03-24,1,0.973,-2.7,1,2.168,116.8,1,57.05
2015-03-25,1,0.973,-2.7,1.022,2.168,112.133,1.011,55.341
2015-03-26,1,0.97,-3,0.966,1.124,16.356,0.983,6.511
2015-03-27,1,0.938,-6.2,0.984,1.079,9.654,0.992,1.663
2015-03-30,1.001,0.933,-6.793,0.961,1.023,6.452,0.981,-0.306
2015-03-31,1.001,0.928,-7.293,0.991,1.059,6.862,0.996,-0.251
2015-04-01,1.001,0.946,-5.495,1.049,1.087,3.622,1.025,-0.829
2015-04-02,1.001,0.968,-3.297,1.109,1.12,0.992,1.055,-1.043
2015-04-03,1.002,0.988,-1.397,1.142,1.135,-0.613,1.072,-0.979
2015-04-07,1.002,1.01,0.798,1.184,1.154,-2.534,1.093,-1.006
2015-04-08,1.002,0.984,-1.796,1.126,1.122,-0.355,1.064,-1.034
2015-04-09,1.003,0.964,-3.888,1.129,1.195,5.846,1.066,1.266
2015-04-10,1.003,0.978,-2.493,1.173,1.178,0.426,1.088,-0.919
2015-04-13,1.003,0.993,-0.997,1.189,1.172,-1.43,1.096,-1.232
2015-04-14,1.003,1.01,0.698,1.177,1.14,-3.144,1.09,-1.376
2015-04-15,1.004,0.984,-1.992,1.082,1.1,1.664,1.043,-0.096
2015-04-16,1.004,0.98,-2.39,1.13,1.145,1.327,1.067,-0.422
2015-04-17,1.004,0.982,-2.191,1.128,1.14,1.064,1.066,-0.469
2015-04-20,1.004,0.974,-2.988,1.114,1.111,-0.269,1.059,-1.558
2015-04-21,1.005,0.983,-2.189,1.241,1.222,-1.531,1.123,-1.825
2015-04-22,1.005,0.983,-2.189,1.313,1.324,0.838,1.159,-0.475
2015-04-23,1.005,0.97,-3.483,1.387,1.456,4.975,1.196,1.421
2015-04-24,1.005,0.956,-4.876,1.425,1.5,5.263,1.215,1.07
2015-04-27,1.006,0.963,-4.274,1.454,1.473,1.307,1.23,-0.976
2015-04-28,1.006,0.965,-4.076,1.43,1.414,-1.119,1.218,-2.34
2015-04-29,1.006,0.975,-3.082,1.538,1.555,1.105,1.272,-0.55
2015-04-30,1.006,0.97,-3.579,1.602,1.628,1.623,1.304,-0.383
2015-05-04,1.007,0.96,-4.667,1.575,1.614,2.476,1.291,-0.31
2015-05-05,1.007,0.939,-6.753,1.519,1.57,3.357,1.263,-0.673
2015-05-06,1.007,0.922,-8.441,1.565,1.7,8.626,1.286,1.944
2015-05-07,1.007,0.917,-8.937,1.531,1.673,9.275,1.269,2.049
2015-05-08,1.008,0.922,-8.532,1.666,1.84,10.444,1.337,3.291
2015-05-11,1.008,0.92,-8.73,1.794,2.024,12.821,1.401,5.068
2015-05-12,1.008,0.917,-9.028,1.86,2.226,19.677,1.434,9.589
2015-05-13,1.008,0.914,-9.325,1.826,2.018,10.515,1.417,3.458
2015-05-14,1.009,0.941,-6.739,1.789,1.819,1.677,1.399,-1.358
2015-05-15,1.009,0.94,-6.838,1.791,1.874,4.634,1.4,0.5
2015-05-18,1.009,0.931,-7.73,1.897,1.996,5.219,1.453,0.723
2015-05-19,1.009,0.925,-8.325,1.933,1.992,3.052,1.471,-0.85
2015-05-20,1.01,0.928,-8.119,2.002,2.1,4.895,1.506,0.531
2015-05-21,1,0.921,-7.9,1,2.144,114.4,1,53.25
2015-05-22,1,0.921,-7.9,0.994,2.144,115.694,0.997,53.711
2015-05-25,1.001,0.913,-8.791,0.963,1.093,13.499,0.982,2.138
2015-05-26,1.001,0.898,-10.29,1.041,1.202,15.466,1.021,2.84
2015-05-27,1.001,0.878,-12.288,1.045,1.322,26.507,1.023,7.527
2015-05-28,1.001,0.883,-11.788,0.939,1.293,37.7,0.97,12.165
2015-05-29,1.001,0.87,-13.087,0.989,1.373,38.827,0.995,12.714
2015-06-01,1.002,0.846,-15.569,1.07,1.337,24.953,1.036,5.357
2015-06-02,1.002,0.844,-15.768,1.154,1.31,13.518,1.078,-0.093
2015-06-03,1.002,0.876,-12.575,1.192,1.297,8.809,1.097,-0.957
2015-06-04,1.002,0.883,-11.876,1.166,1.262,8.233,1.084,-1.061
2015-06-05,1.002,0.888,-11.377,1.134,1.23,8.466,1.068,-0.843
2015-06-08,1.003,0.874,-12.861,1.031,1.18,14.452,1.017,0.983
2015-06-09,1.003,0.857,-14.556,1.031,1.21,17.362,1.017,1.622
2015-06-10,1.003,0.858,-14.457,1.099,1.249,13.649,1.051,0.238
2015-06-11,1.003,0.866,-13.659,1.113,1.22,9.614,1.058,-1.418
2015-06-12,1.004,0.884,-11.952,1.128,1.212,7.447,1.066,-1.689
2015-06-15,1.004,0.884,-11.952,1.01,1.135,12.376,1.007,0.248
2015-06-16,1.004,0.878,-12.55,0.948,1.086,14.557,0.976,0.615
2015-06-17,1.004,0.862,-14.143,1.028,1.182,14.981,1.016,0.591
2015-06-18,1.005,0.85,-15.423,0.905,1.075,18.785,0.955,0.785
2015-06-19,1.005,0.854,-15.025,0.809,1.023,26.452,0.907,3.473
2015-06-23,1.005,0.837,-16.716,0.809,1.036,28.059,0.926,1.134
2015-06-24,1.006,0.849,-15.606,0.84,1.007,19.881,0.923,0.542
2015-06-25,1.006,0.872,-13.32,0.75,0.914,21.867,0.878,1.708
2015-06-26,1.006,0.898,-10.736,0.604,0.823,36.258,0.805,6.894
2015-06-29,1.006,0.893,-11.233,0.476,0.741,55.672,0.741,10.256
2015-06-30,1.007,0.849,-15.69,0.563,0.815,44.76,0.785,5.987
