date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.965,-3.596,1.096,1.175,7.208,1.058,3.119
2015-01-06,1.001,0.965,-3.596,1.158,1.293,11.658,1.095,6.1
2015-01-07,1.001,0.932,-6.893,1.146,1.388,21.117,1.088,10.809
2015-01-08,1.001,0.923,-7.792,1.153,1.406,21.943,1.092,11.062
2015-01-09,1.001,0.894,-10.689,1.153,1.272,10.321,1.092,2.637
2015-01-12,1.002,0.89,-11.178,1.165,1.219,4.635,1.1,-1.145
2015-01-13,1.002,0.89,-11.178,1.209,1.256,3.888,1.126,-1.456
2015-01-14,1.002,0.896,-10.579,1.195,1.243,4.017,1.118,-1.234
2015-01-15,1.002,0.907,-9.481,1.19,1.239,4.118,1.115,-0.789
2015-01-16,1.003,0.906,-9.671,1.226,1.298,5.873,1.137,0.369
2015-01-19,1.003,0.91,-9.272,1.201,1.237,2.998,1.122,-1.408
2015-01-20,1.003,0.914,-8.873,1.286,1.324,2.955,1.173,-1.108
2015-01-21,1.003,0.914,-8.873,1.318,1.358,3.035,1.192,-0.973
2015-01-22,1.004,0.942,-6.175,1.341,1.366,1.864,1.206,-0.796
2015-01-23,1.004,0.928,-7.57,1.301,1.332,2.383,1.182,-0.981
2015-01-26,1.004,0.943,-6.076,1.339,1.359,1.494,1.205,-1.029
2015-01-27,1.004,0.948,-5.578,1.341,1.346,0.373,1.206,-1.592
2015-01-28,1.005,0.941,-6.368,1.315,1.341,1.977,1.191,-0.84
2015-01-29,1.005,0.938,-6.667,1.295,1.343,3.707,1.179,0.17
2015-01-30,1.005,0.93,-7.463,1.272,1.33,4.56,1.165,0.429
2015-02-02,1.005,0.935,-6.965,1.27,1.328,4.567,1.164,0.584
2015-02-03,1.006,0.939,-6.66,1.314,1.36,3.501,1.191,0.05
2015-02-04,1.006,0.936,-6.958,1.303,1.357,4.144,1.184,0.389
2015-02-05,1.006,0.936,-6.958,1.301,1.335,2.613,1.183,-0.642
2015-02-06,1.006,0.936,-6.958,1.261,1.301,3.172,1.159,-0.345
2015-02-09,1.007,0.935,-7.15,1.242,1.322,6.441,1.148,1.672
2015-02-10,1.007,0.937,-6.951,1.29,1.313,1.783,1.177,-1.223
2015-02-11,1.007,0.937,-6.951,1.319,1.353,2.578,1.194,-0.62
2015-02-12,1.007,0.945,-6.157,1.335,1.358,1.723,1.204,-0.93
2015-02-13,1.007,0.966,-4.071,1.365,1.378,0.952,1.222,-0.72
2015-02-16,1.008,0.981,-2.679,1.421,1.42,-0.07,1.256,-0.924
2015-02-17,1.008,0.994,-1.389,1.42,1.412,-0.563,1.255,-0.813
2015-02-25,1.009,0.994,-1.487,1.386,1.394,0.577,1.235,-0.081
2015-02-26,1.01,0.99,-1.98,1.405,1.4,-0.356,1.247,-0.882
2015-02-27,1.01,0.998,-1.188,1.442,1.425,-1.179,1.269,-1.166
2015-03-02,1.01,1,-0.99,1.482,1.465,-1.147,1.293,-1.083
2015-03-03,1.01,1,-0.99,1.448,1.46,0.829,1.273,0.236
2015-03-04,1.011,1,-1.088,1.483,1.48,-0.202,1.294,-0.464
2015-03-05,1.011,0.987,-2.374,1.481,1.466,-1.013,1.293,-1.439
2015-03-06,1.011,0.989,-2.176,1.431,1.434,0.21,1.263,-0.554
2015-03-09,1.011,0.995,-1.583,1.469,1.455,-0.953,1.286,-1.166
2015-03-10,1.012,1.011,-0.099,1.519,1.497,-1.448,1.316,-1.018
2015-03-11,1.012,1.009,-0.296,1.509,1.481,-1.856,1.31,-1.359
2015-03-12,1.012,1.019,0.692,1.5,1.5,0,1.305,0.199
2015-03-13,1.012,1.008,-0.395,1.539,1.526,-0.845,1.328,-0.693
2015-03-16,1.013,1.012,-0.099,1.608,1.605,-0.187,1.37,-0.161
2015-03-17,1.013,1.018,0.494,1.608,1.609,0.062,1.37,0.19
2015-03-18,1.013,1.024,1.086,1.651,1.625,-1.575,1.396,-0.817
2015-03-19,1.013,1.021,0.79,1.661,1.61,-3.07,1.402,-1.969
2015-03-20,1.013,1.018,0.494,1.686,1.66,-1.542,1.417,-0.974
2015-03-23,1.014,1.049,3.452,1.769,1.72,-2.77,1.467,-1.05
2015-03-24,1.014,1.053,3.846,1.806,1.78,-1.44,1.489,0.013
2015-03-25,1.014,1.053,3.846,1.836,1.82,-0.871,1.507,0.411
2015-03-26,1.014,1.029,1.479,1.762,1.858,5.448,1.463,4.334
2015-03-27,1.014,1.02,0.592,1.819,1.8,-1.045,1.497,-0.601
2015-03-30,1.015,1.019,0.394,1.822,1.84,0.988,1.499,0.841
2015-03-31,1.015,1.024,0.887,1.845,1.879,1.843,1.513,1.586
2015-04-01,1.015,1.026,1.084,1.912,1.863,-2.563,1.553,-1.597
2015-04-02,1.015,1.038,2.266,1.967,1.979,0.61,1.586,1.047
2015-04-03,1.016,1.029,1.28,2.004,2.177,8.633,1.609,6.762
2015-04-07,1.016,1.04,2.362,2.028,2.395,18.097,1.623,14.171
2015-04-08,1.016,0.965,-5.02,2.011,2.156,7.21,1.613,4.129
2015-04-09,1.017,0.94,-7.571,2.007,1.974,-1.644,1.611,-3.141
2015-04-10,1.017,0.974,-4.228,2.082,2.09,0.384,1.656,-0.749
2015-04-13,1.017,0.999,-1.77,2.112,2.076,-1.705,1.674,-1.72
2015-04-14,1.017,1.008,-0.885,2.084,2.06,-1.152,1.657,-1.074
2015-04-15,1.018,0.987,-3.045,1.978,1.983,0.253,1.594,-0.59
2015-04-16,1.018,0.994,-2.358,2.011,1.991,-0.995,1.614,-1.351
2015-04-17,1.018,1.015,-0.295,1.995,1.968,-1.353,1.604,-1.072
