date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-04-09,1.002,0.902,-9.98,1.04,1.197,15.096,1.021,2.791
2015-04-10,1.002,0.839,-16.267,1.084,1.286,18.635,1.043,1.87
2015-04-13,1.003,0.834,-16.849,1.111,1.269,14.221,1.057,-0.52
2015-04-14,1.003,0.839,-16.351,1.107,1.253,13.189,1.055,-0.853
2015-04-15,1.003,0.851,-15.155,1.027,1.2,16.845,1.015,1.034
2015-04-16,1.003,0.854,-14.855,1.061,1.235,16.4,1.032,1.211
2015-04-17,1.003,0.858,-14.457,1.077,1.248,15.877,1.04,1.25
2015-04-20,1.004,0.858,-14.542,1.038,1.199,15.511,1.021,0.735
2015-04-21,1.004,0.857,-14.641,1.102,1.225,11.162,1.053,-1.14
2015-04-22,1.004,0.862,-14.143,1.152,1.263,9.635,1.078,-1.438
2015-04-23,1.004,0.857,-14.641,1.188,1.333,12.205,1.096,-0.091
2015-04-24,1.004,0.858,-14.542,1.176,1.33,13.095,1.09,0.367
2015-04-27,1.005,0.854,-15.025,1.189,1.316,10.681,1.097,-1.094
2015-04-28,1.005,0.853,-15.124,1.113,1.256,12.848,1.059,-0.425
2015-04-29,1.005,0.853,-15.124,1.163,1.288,10.748,1.084,-1.245
2015-04-30,1.005,0.858,-14.627,1.173,1.294,10.315,1.089,-1.194
2015-05-04,1.006,0.86,-14.513,1.212,1.325,9.323,1.109,-1.488
2015-05-05,1.006,0.853,-15.209,1.132,1.267,11.926,1.069,-0.842
2015-05-06,1.006,0.844,-16.103,1.112,1.252,12.59,1.059,-1.039
2015-05-07,1.006,0.842,-16.302,1.056,1.217,15.246,1.031,-0.145
2015-05-08,1.006,0.847,-15.805,1.132,1.273,12.456,1.069,-0.842
2015-05-11,1.007,0.852,-15.392,1.235,1.355,9.717,1.121,-1.561
2015-05-12,1.007,0.857,-14.896,1.291,1.405,8.83,1.149,-1.567
2015-05-13,1.007,0.857,-14.896,1.295,1.416,9.344,1.151,-1.26
2015-05-14,1.007,0.858,-14.796,1.323,1.446,9.297,1.165,-1.116
2015-05-15,1.008,0.868,-13.889,1.306,1.412,8.116,1.157,-1.469
2015-05-18,1.008,0.864,-14.286,1.328,1.465,10.316,1.168,-0.3
2015-05-19,1.008,0.863,-14.385,1.374,1.491,8.515,1.191,-1.175
2015-05-20,1.008,0.857,-14.98,1.418,1.545,8.956,1.213,-0.989
2015-05-21,1.008,0.859,-14.782,1.508,1.673,10.942,1.258,0.636
2015-05-22,1.009,0.851,-15.659,1.535,1.678,9.316,1.272,-0.59
2015-05-25,1.009,0.852,-15.56,1.587,1.746,10.019,1.298,0.077
2015-05-26,1.009,0.834,-17.344,1.685,1.899,12.7,1.347,1.448
2015-05-27,1.009,0.82,-18.731,1.709,1.953,14.277,1.359,2.024
2015-05-28,1.009,0.828,-17.939,1.541,1.758,14.082,1.275,1.412
2015-05-29,1.01,0.818,-19.01,1.552,1.735,11.791,1.281,-0.351
2015-06-01,1.01,0.818,-19.01,1.682,1.865,10.88,1.346,-0.334
2015-06-02,1.01,0.815,-19.307,1.772,1.925,8.634,1.391,-1.51
2015-06-03,1.01,0.831,-17.723,1.76,1.885,7.102,1.385,-1.949
2015-06-04,1.01,0.833,-17.525,1.744,1.866,6.995,1.377,-1.997
2015-06-05,1.011,0.841,-16.815,1.783,1.913,7.291,1.397,-1.432
2015-06-08,1.011,0.849,-16.024,1.747,1.858,6.354,1.379,-1.849
2015-06-09,1.011,0.849,-16.024,1.781,1.905,6.962,1.396,-1.361
2015-06-10,1.011,0.841,-16.815,1.807,1.962,8.578,1.409,-0.532
2015-06-11,1.012,0.842,-16.798,1.83,1.959,7.049,1.421,-1.443
2015-06-12,1.012,0.841,-16.897,1.868,1.989,6.478,1.44,-1.736
2015-06-15,1.012,0.836,-17.391,1.814,1.994,9.923,1.413,0.142
2015-06-16,1.012,0.839,-17.095,1.692,1.844,8.983,1.352,-0.777
2015-06-17,1.012,0.854,-15.613,1.74,1.872,7.586,1.376,-0.945
2015-06-18,1.013,0.854,-15.696,1.647,1.788,8.561,1.33,-0.677
2015-06-19,1.013,0.854,-15.696,1.459,1.609,10.281,1.236,-0.364
2015-06-23,1.013,0.852,-15.893,1.475,1.626,10.237,1.244,-0.402
2015-06-24,1.013,0.85,-16.091,1.539,1.668,8.382,1.276,-1.332
2015-06-25,1.014,0.858,-15.385,1.424,1.56,9.551,1.219,-0.82
2015-06-26,1.014,0.84,-17.16,1.224,1.404,14.706,1.119,0.268
2015-06-29,1.014,0.816,-19.527,1.036,1.264,22.008,1.025,1.463
2015-06-30,1.014,0.799,-21.203,1.136,1.367,20.335,1.075,0.744
2015-07-01,1.014,0.796,-21.499,0.976,1.23,26.025,0.995,1.809
2015-07-02,1.015,0.799,-21.281,0.821,1.107,34.836,0.918,3.813
2015-07-03,1.015,0.774,-23.744,0.685,0.996,45.401,0.85,4.118
2015-07-06,1.015,0.802,-20.985,0.651,0.896,37.634,0.833,1.921
2015-07-07,1.015,0.822,-19.015,0.523,0.806,54.111,0.769,5.852
