date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.981,-1.998,2.049,2.115,3.221,1.525,1.508
2015-01-06,1.001,0.981,-1.998,2.067,2.06,-0.339,1.534,-0.88
2015-01-07,1.001,0.918,-8.292,2.071,2.266,9.416,1.536,3.646
2015-01-08,1.001,0.904,-9.69,2.033,2.493,22.627,1.517,11.964
2015-01-09,1.001,0.887,-11.389,2.007,2.254,12.307,1.504,4.422
2015-01-12,1.002,0.883,-11.876,1.968,2.05,4.167,1.485,-1.246
2015-01-13,1.002,0.887,-11.477,1.992,2.079,4.367,1.497,-0.935
2015-01-14,1.002,0.897,-10.479,1.974,2.042,3.445,1.488,-1.243
2015-01-15,1.003,0.913,-8.973,2.029,2.073,2.169,1.516,-1.517
2015-01-16,1.003,0.917,-8.574,2.057,2.102,2.188,1.53,-1.34
2015-01-19,1.003,0.918,-8.475,1.871,1.968,5.184,1.437,0.418
2015-01-20,1.003,0.928,-7.478,1.957,1.978,1.073,1.48,-1.824
2015-01-21,1.003,0.948,-5.484,2.045,2.105,2.934,1.524,0.164
2015-01-22,1.004,0.948,-5.578,2.088,2.104,0.766,1.546,-1.294
2015-01-23,1.004,0.98,-2.39,2.072,2.128,2.703,1.538,1.04
2015-01-26,1.004,1,-0.398,2.142,2.104,-1.774,1.573,-1.335
2015-01-27,1.004,1.014,0.996,2.148,2.096,-2.421,1.576,-1.332
2015-01-28,1.005,1.016,1.095,2.123,2.1,-1.083,1.564,-0.384
2015-01-29,1.005,0.993,-1.194,2.093,2.11,0.812,1.549,0.161
2015-01-30,1.005,0.976,-2.886,2.059,2.12,2.963,1.532,1.044
2015-02-02,1.005,0.974,-3.085,2.033,2.11,3.788,1.519,1.514
2015-02-03,1.006,0.966,-3.976,2.082,2.092,0.48,1.544,-0.972
2015-02-04,1.006,0.985,-2.087,2.06,2.096,1.748,1.533,0.489
2015-02-05,1.006,0.964,-4.175,2.036,2.113,3.782,1.521,1.151
2015-02-06,1.006,1,-0.596,1.98,2.008,1.414,1.493,0.737
2015-02-09,1.007,0.985,-2.185,1.977,2.056,3.996,1.492,1.91
2015-02-10,1.007,0.918,-8.838,2.017,2.064,2.33,1.512,-1.389
2015-02-11,1.007,0.964,-4.27,2.047,2.058,0.537,1.527,-1.048
2015-02-12,1.007,0.965,-4.171,2.067,2.069,0.097,1.537,-1.301
2015-02-13,1.007,0.97,-3.674,2.105,2.12,0.713,1.556,-0.707
2015-02-16,1.008,0.977,-3.075,2.148,2.142,-0.279,1.578,-1.172
2015-02-17,1.008,0.983,-2.48,2.172,2.197,1.151,1.59,0
2015-02-25,1.009,0.985,-2.379,2.163,2.193,1.387,1.586,0.189
2015-02-26,1.01,0.948,-6.139,2.208,2.201,-0.317,1.609,-2.144
