date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.914,-8.691,1.659,1.733,4.461,1.33,-0.489
2015-01-06,1.001,0.914,-8.691,1.633,1.777,8.818,1.317,2.164
2015-01-07,1.001,0.901,-9.99,1.663,1.818,9.321,1.332,2.065
2015-01-08,1.001,0.855,-14.585,1.609,1.764,9.633,1.305,0.345
2015-01-09,1.001,0.855,-14.585,1.567,1.716,9.509,1.284,0.117
2015-01-12,1.002,0.846,-15.569,1.504,1.642,9.176,1.253,-0.718
2015-01-13,1.002,0.848,-15.369,1.5,1.622,8.133,1.251,-1.279
2015-01-14,1.002,0.855,-14.671,1.44,1.563,8.542,1.221,-0.983
2015-01-15,1.002,0.855,-14.671,1.488,1.618,8.737,1.245,-0.683
2015-01-16,1.003,0.85,-15.254,1.515,1.667,10.033,1.259,-0.04
2015-01-19,1.003,0.854,-14.855,1.349,1.5,11.193,1.176,0.085
2015-01-20,1.003,0.854,-14.855,1.403,1.535,9.408,1.203,-0.707
2015-01-21,1.003,0.858,-14.457,1.493,1.611,7.904,1.248,-1.082
2015-01-22,1.003,0.859,-14.357,1.551,1.685,8.64,1.277,-0.392
2015-01-23,1.004,0.86,-14.343,1.526,1.72,12.713,1.265,1.976
2015-01-26,1.004,0.866,-13.745,1.566,1.728,10.345,1.285,0.934
2015-01-27,1.004,0.871,-13.247,1.552,1.682,8.376,1.278,-0.117
2015-01-28,1.004,0.869,-13.446,1.508,1.632,8.223,1.256,-0.438
2015-01-29,1.005,0.865,-13.93,1.491,1.61,7.981,1.248,-0.841
2015-01-30,1.005,0.864,-14.03,1.471,1.602,8.906,1.238,-0.404
2015-02-02,1.005,0.86,-14.428,1.443,1.59,10.187,1.224,0.082
2015-02-03,1.005,0.86,-14.428,1.481,1.622,9.521,1.243,-0.161
2015-02-04,1.006,0.861,-14.414,1.474,1.622,10.041,1.24,0.121
2015-02-05,1.006,0.86,-14.513,1.424,1.579,10.885,1.215,0.37
2015-02-06,1.006,0.858,-14.712,1.36,1.51,11.029,1.183,0.085
2015-02-09,1.006,0.866,-13.917,1.36,1.497,10.074,1.183,-0.127
2015-02-10,1.006,0.869,-13.618,1.392,1.521,9.267,1.199,-0.334
2015-02-11,1.007,0.87,-13.605,1.387,1.52,9.589,1.197,-0.167
2015-02-12,1.007,0.876,-13.009,1.391,1.519,9.202,1.199,-0.125
2015-02-13,1.007,0.884,-12.214,1.431,1.552,8.456,1.219,-0.082
2015-02-16,1.007,0.886,-12.016,1.451,1.564,7.788,1.229,-0.325
2015-02-17,1.008,0.891,-11.607,1.452,1.571,8.196,1.23,0.081
2015-02-25,1.009,0.891,-11.695,1.441,1.536,6.593,1.225,-0.939
2015-02-26,1.009,0.887,-12.091,1.513,1.619,7.006,1.261,-0.634
2015-02-27,1.009,0.888,-11.992,1.525,1.647,8,1.267,0.039
2015-03-02,1.01,0.885,-12.376,1.572,1.735,10.369,1.291,1.472
2015-03-03,1.01,0.877,-13.168,1.548,1.729,11.693,1.279,1.876
2015-03-04,1.01,0.876,-13.267,1.56,1.695,8.654,1.285,0.039
2015-03-05,1.01,0.879,-12.97,1.542,1.651,7.069,1.276,-0.862
2015-03-06,1.01,0.886,-12.277,1.556,1.678,7.841,1.283,-0.078
2015-03-09,1.011,0.885,-12.463,1.563,1.687,7.933,1.287,-0.078
2015-03-10,1.011,0.883,-12.661,1.565,1.687,7.796,1.288,-0.233
2015-03-11,1.011,0.886,-12.364,1.545,1.671,8.155,1.278,0.039
2015-03-12,1.011,0.883,-12.661,1.563,1.691,8.189,1.287,0
2015-03-13,1.011,0.885,-12.463,1.589,1.736,9.251,1.3,0.808
2015-03-16,1.012,0.886,-12.451,1.634,1.768,8.201,1.323,0.302
2015-03-17,1.012,0.893,-11.759,1.67,1.78,6.587,1.341,-0.336
2015-03-18,1.012,0.902,-10.87,1.72,1.812,5.349,1.366,-0.659
2015-03-19,1.012,0.898,-11.265,1.744,1.852,6.193,1.378,-0.218
2015-03-20,1.012,0.895,-11.561,1.734,1.865,7.555,1.373,0.51
2015-03-23,1.013,0.888,-12.34,1.795,1.923,7.131,1.404,0.107
2015-03-24,1.013,0.88,-13.129,1.805,1.943,7.645,1.409,0.177
2015-03-25,1.013,0.88,-13.129,1.777,1.893,6.528,1.395,-0.609
2015-03-26,1.013,0.882,-12.932,1.809,1.934,6.91,1.411,-0.213
2015-03-27,1.014,0.88,-13.215,1.814,1.967,8.434,1.414,0.672
2015-03-30,1.014,0.881,-13.116,1.862,2.013,8.11,1.438,0.626
2015-03-31,1.014,0.875,-13.708,1.824,1.98,8.553,1.419,0.599
2015-04-01,1.014,0.876,-13.609,1.866,1.987,6.484,1.44,-0.59
2015-04-02,1.014,0.876,-13.609,1.912,2.05,7.218,1.463,0
2015-04-03,1.015,0.882,-13.103,1.919,2.035,6.045,1.467,-0.579
2015-04-07,1.015,0.884,-12.906,2.017,2.106,4.412,1.516,-1.385
2015-04-08,1.015,0.885,-12.808,1.981,2.076,4.796,1.498,-1.168
2015-04-09,1.016,0.884,-12.992,1.924,2.04,6.029,1.47,-0.544
2015-04-10,1.016,0.893,-12.106,1.982,2.072,4.541,1.499,-1.101
2015-04-13,1.016,0.895,-11.909,2.03,2.101,3.498,1.523,-1.641
2015-04-14,1.016,0.9,-11.417,2.002,2.06,2.897,1.509,-1.922
2015-04-15,1.017,0.908,-10.718,1.923,2.007,4.368,1.47,-0.85
2015-04-16,1.017,0.914,-10.128,1.999,2.08,4.052,1.508,-0.729
2015-04-17,1.017,0.904,-11.111,2.107,2.181,3.512,1.562,-1.248
2015-04-20,1.017,0.91,-10.521,2.105,2.192,4.133,1.561,-0.641
2015-04-21,1.017,0.907,-10.816,2.169,2.245,3.504,1.593,-1.067
2015-04-22,1.018,0.906,-11.002,2.26,2.351,4.027,1.639,-0.641
2015-04-23,1.018,0.895,-12.083,2.366,2.586,9.298,1.692,2.866
2015-04-24,1.018,0.882,-13.36,2.328,2.49,6.959,1.673,0.777
2015-04-27,1.018,0.884,-13.163,2.404,2.533,5.366,1.711,-0.146
2015-04-28,1.019,0.895,-12.169,2.297,2.415,5.137,1.658,-0.181
2015-04-29,1.019,0.896,-12.071,2.383,2.466,3.483,1.701,-1.176
2015-04-30,1.019,0.887,-12.954,2.301,2.432,5.693,1.66,-0.03
2015-05-04,1.02,0.882,-13.529,2.298,2.431,5.788,1.659,-0.151
2015-05-05,1.02,0.876,-14.118,2.176,2.337,7.399,1.598,0.532
2015-05-06,1.02,0.858,-15.882,2.096,2.251,7.395,1.558,-0.225
2015-05-07,1.02,0.862,-15.49,2.012,2.16,7.356,1.516,-0.33
2015-05-08,1.02,0.868,-14.902,2.076,2.206,6.262,1.548,-0.711
2015-05-11,1.021,0.873,-14.496,2.171,2.287,5.343,1.596,-1.003
2015-05-12,1.021,0.88,-13.81,2.187,2.285,4.481,1.604,-1.34
2015-05-13,1.021,0.876,-14.202,2.177,2.307,5.972,1.599,-0.469
2015-05-14,1.021,0.885,-13.32,2.247,2.391,6.409,1.634,0.245
2015-05-15,1.021,0.894,-12.439,2.161,2.259,4.535,1.591,-0.911
2015-05-18,1.022,0.895,-12.427,2.124,2.203,3.719,1.573,-1.526
2015-05-19,1.022,0.898,-12.133,2.198,2.298,4.55,1.61,-0.745
2015-05-20,1.022,0.899,-12.035,2.194,2.298,4.74,1.608,-0.591
2015-05-21,1.022,0.898,-12.133,2.246,2.343,4.319,1.634,-0.826
2015-05-22,1.022,0.905,-11.448,2.362,2.46,4.149,1.692,-0.561
2015-05-25,1.023,0.899,-12.121,2.443,2.552,4.462,1.733,-0.433
2015-05-26,1.023,0.891,-12.903,2.531,2.647,4.583,1.777,-0.45
2015-05-27,1.023,0.862,-15.738,2.605,2.912,11.785,1.814,4.024
2015-05-28,1.023,0.857,-16.227,2.343,2.621,11.865,1.683,3.327
2015-05-29,1.023,0.83,-18.866,2.327,2.476,6.403,1.675,-1.313
2015-06-01,1.024,0.839,-18.066,2.528,2.724,7.753,1.776,0.31
2015-06-02,1.024,0.869,-15.137,2.618,2.718,3.82,1.821,-1.51
2015-06-03,1.024,0.88,-14.063,2.608,2.683,2.876,1.816,-1.9
2015-06-04,1.024,0.879,-14.16,2.718,2.865,5.408,1.871,0.053
2015-06-05,1.025,0.855,-16.585,2.829,3.02,6.752,1.927,0.545
2015-06-08,1.025,0.833,-18.732,2.839,3.322,17.013,1.932,7.531
2015-06-09,1.025,0.817,-20.293,2.891,3.205,10.861,1.958,2.707
2015-06-10,1.025,0.802,-21.756,2.859,3.048,6.611,1.942,-0.875
2015-06-11,1.026,0.814,-20.663,2.856,3.018,5.672,1.941,-1.288
2015-06-12,1.026,0.807,-21.345,2.876,3.033,5.459,1.951,-1.589
2015-06-15,1.026,0.824,-19.688,2.806,2.95,5.132,1.916,-1.514
2015-06-16,1.026,0.832,-18.908,2.648,2.792,5.438,1.837,-1.361
2015-06-17,1.026,0.827,-19.396,2.748,2.909,5.859,1.887,-1.007
2015-06-18,1.027,0.838,-18.403,2.609,2.782,6.631,1.818,-0.44
2015-06-19,1.027,0.831,-19.085,2.353,2.553,8.5,1.69,0.118
2015-06-23,1.027,0.809,-21.227,2.415,2.618,8.406,1.721,-0.436
2015-06-24,1.028,0.815,-20.72,2.552,2.725,6.779,1.79,-1.117
2015-06-25,1.028,0.83,-19.261,2.374,2.545,7.203,1.701,-0.794
2015-06-26,1.028,0.846,-17.704,2.068,2.291,10.783,1.548,1.324
2015-06-29,1.028,0.84,-18.288,1.946,2.076,6.68,1.487,-1.95
2015-06-30,1.029,0.822,-20.117,2.085,2.257,8.249,1.557,-1.124
2015-07-01,1.029,0.829,-19.436,1.889,2.092,10.746,1.459,0.103
2015-07-02,1.029,0.829,-19.436,1.673,1.883,12.552,1.351,0.37
2015-07-03,1.029,0.827,-19.631,1.465,1.695,15.7,1.247,1.123
2015-07-06,1.029,0.86,-16.424,1.429,1.545,8.118,1.229,-2.156
2015-07-07,1.03,0.879,-14.66,1.29,1.391,7.829,1.16,-2.155
2015-07-08,1.03,0.86,-16.505,1.144,1.252,9.441,1.087,-2.852
2015-07-09,1.03,0.865,-16.019,1.278,1.377,7.746,1.154,-2.86
2015-07-10,1.03,0.869,-15.631,1.432,1.515,5.796,1.231,-3.168
2015-07-13,1.031,0.888,-13.87,1.589,1.644,3.461,1.31,-3.359
2015-07-14,1.031,0.913,-11.445,1.539,1.568,1.884,1.285,-3.463
2015-07-15,1.031,0.945,-8.341,1.373,1.411,2.768,1.202,-1.997
2015-07-16,1.031,0.927,-10.087,1.421,1.494,5.137,1.226,-1.264
2015-07-17,1.031,0.908,-11.93,1.553,1.589,2.318,1.292,-3.367
2015-07-20,1.032,0.917,-11.143,1.574,1.613,2.478,1.303,-2.916
2015-07-21,1.032,0.935,-9.399,1.62,1.665,2.778,1.326,-1.961
2015-07-22,1.032,0.915,-11.337,1.63,1.718,5.399,1.331,-1.089
2015-07-23,1.032,0.89,-13.76,1.704,1.822,6.925,1.368,-0.877
2015-07-24,1.032,0.891,-13.663,1.704,1.809,6.162,1.368,-1.316
2015-07-27,1.033,0.919,-11.036,1.467,1.628,10.975,1.25,1.88
