date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.003,0.852,-15.055,1.299,1.406,8.237,1.151,-1.911
2015-01-06,1.004,0.854,-14.94,1.274,1.43,12.245,1.139,0.263
2015-01-07,1.004,0.858,-14.542,1.312,1.479,12.729,1.158,0.907
2015-01-08,1.004,0.858,-14.542,1.252,1.406,12.3,1.128,0.355
2015-01-09,1.004,0.858,-14.542,1.222,1.34,9.656,1.113,-1.258
2015-01-12,1.005,0.856,-14.826,1.181,1.303,10.33,1.093,-1.235
2015-01-13,1.005,0.857,-14.726,1.171,1.299,10.931,1.088,-0.919
2015-01-14,1.005,0.86,-14.428,1.111,1.242,11.791,1.058,-0.662
2015-01-15,1.005,0.866,-13.831,1.139,1.271,11.589,1.072,-0.326
2015-01-16,1.005,0.866,-13.831,1.175,1.314,11.83,1.09,0
2015-01-19,1.006,0.873,-13.221,1.062,1.192,12.241,1.034,-0.145
2015-01-20,1.006,0.878,-12.724,1.11,1.222,10.09,1.058,-0.756
2015-01-21,1.006,0.879,-12.624,1.196,1.297,8.445,1.101,-1.181
2015-01-22,1.006,0.879,-12.624,1.266,1.373,8.452,1.136,-0.88
2015-01-23,1.006,0.88,-12.525,1.238,1.388,12.116,1.122,1.07
2015-01-26,1.007,0.886,-12.016,1.283,1.39,8.34,1.145,-0.611
2015-01-27,1.007,0.897,-10.924,1.271,1.362,7.16,1.139,-0.834
2015-01-28,1.007,0.897,-10.924,1.237,1.326,7.195,1.122,-0.936
2015-01-29,1.007,0.894,-11.221,1.219,1.317,8.039,1.113,-0.674
2015-01-30,1.007,0.89,-11.619,1.207,1.303,7.954,1.107,-0.949
2015-02-02,1.008,0.886,-12.103,1.18,1.282,8.644,1.094,-0.914
2015-02-03,1.008,0.886,-12.103,1.204,1.31,8.804,1.106,-0.723
2015-02-04,1.008,0.89,-11.706,1.188,1.301,9.512,1.098,-0.228
2015-02-05,1.008,0.886,-12.103,1.148,1.263,10.017,1.078,-0.325
2015-02-06,1.009,0.893,-11.497,1.095,1.19,8.676,1.052,-0.998
2015-02-09,1.009,0.9,-10.803,1.095,1.183,8.037,1.052,-0.998
2015-02-10,1.009,0.904,-10.406,1.119,1.211,8.222,1.064,-0.611
2015-02-11,1.009,0.903,-10.505,1.123,1.217,8.37,1.066,-0.563
2015-02-12,1.01,0.909,-10,1.122,1.211,7.932,1.066,-0.563
2015-02-13,1.01,0.912,-9.703,1.16,1.238,6.724,1.085,-0.922
2015-02-16,1.01,0.914,-9.505,1.176,1.264,7.483,1.093,-0.366
2015-02-17,1.01,0.915,-9.406,1.178,1.274,8.149,1.094,0.046
2015-02-25,1.012,0.911,-9.98,1.156,1.238,7.093,1.084,-0.876
2015-02-26,1.012,0.914,-9.684,1.23,1.321,7.398,1.121,-0.312
2015-02-27,1.012,0.915,-9.585,1.242,1.336,7.568,1.127,-0.133
2015-03-02,1.013,0.911,-10.069,1.291,1.396,8.133,1.152,0.13
2015-03-03,1.013,0.898,-11.352,1.297,1.388,7.016,1.155,-1.039
2015-03-04,1.013,0.908,-10.365,1.297,1.379,6.322,1.155,-0.996
2015-03-05,1.013,0.911,-10.069,1.281,1.357,5.933,1.147,-1.133
2015-03-06,1.013,0.913,-9.872,1.313,1.404,6.931,1.163,-0.387
2015-03-09,1.014,0.915,-9.763,1.31,1.42,8.397,1.162,0.473
2015-03-10,1.014,0.913,-9.961,1.312,1.409,7.393,1.163,-0.172
2015-03-11,1.014,0.915,-9.763,1.296,1.386,6.944,1.155,-0.39
2015-03-12,1.014,0.912,-10.059,1.298,1.403,8.089,1.156,0.13
2015-03-13,1.014,0.912,-10.059,1.306,1.424,9.035,1.16,0.69
2015-03-16,1.015,0.915,-9.852,1.345,1.472,9.442,1.18,1.144
2015-03-17,1.015,0.919,-9.458,1.385,1.497,8.087,1.2,0.667
2015-03-18,1.015,0.928,-8.571,1.433,1.539,7.397,1.224,0.776
2015-03-19,1.015,0.923,-9.064,1.459,1.574,7.882,1.237,0.93
2015-03-20,1.015,0.921,-9.261,1.451,1.567,7.994,1.233,0.892
2015-03-23,1.016,0.913,-10.138,1.518,1.621,6.785,1.267,0
2015-03-24,1.016,0.904,-11.024,1.554,1.675,7.786,1.285,0.35
2015-03-25,1.016,0.906,-10.827,1.522,1.622,6.57,1.269,-0.394
2015-03-26,1.016,0.909,-10.531,1.522,1.622,6.57,1.269,-0.276
2015-03-27,1.017,0.901,-11.406,1.533,1.65,7.632,1.275,0.039
2015-03-30,1.017,0.899,-11.603,1.549,1.696,9.49,1.283,1.13
