date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,0.86,-14.086,1.919,2.039,6.253,1.46,-0.719
2015-01-06,1.001,0.86,-14.086,1.823,1.898,4.114,1.412,-2.337
2015-01-07,1.001,0.901,-9.99,1.823,1.91,4.772,1.412,-0.46
2015-01-08,1.001,0.851,-14.985,1.745,1.854,6.246,1.373,-1.493
2015-01-09,1.001,0.847,-15.385,1.707,1.841,7.85,1.354,-0.739
2015-01-12,1.002,0.848,-15.369,1.646,1.776,7.898,1.324,-0.906
2015-01-13,1.002,0.848,-15.369,1.652,1.778,7.627,1.327,-1.055
2015-01-14,1.002,0.847,-15.469,1.67,1.79,7.186,1.336,-1.31
2015-01-15,1.002,0.847,-15.469,1.776,1.9,6.982,1.389,-1.116
2015-01-16,1.003,0.847,-15.553,1.771,1.905,7.566,1.387,-0.793
2015-01-19,1.003,0.847,-15.553,1.565,1.715,9.585,1.284,-0.234
2015-01-20,1.003,0.851,-15.155,1.649,1.756,6.489,1.326,-1.697
2015-01-21,1.003,0.852,-15.055,1.767,1.901,7.583,1.385,-0.614
2015-01-22,1.003,0.855,-14.756,1.809,1.927,6.523,1.406,-1.067
2015-01-23,1.004,0.857,-14.641,1.82,1.952,7.253,1.412,-0.531
2015-01-26,1.004,0.875,-12.849,1.852,1.957,5.67,1.428,-0.84
2015-01-27,1.004,0.89,-11.355,1.782,1.882,5.612,1.393,-0.503
2015-01-28,1.004,0.89,-11.355,1.738,1.829,5.236,1.371,-0.839
2015-01-29,1.005,0.886,-11.841,1.719,1.814,5.526,1.362,-0.881
2015-01-30,1.005,0.891,-11.343,1.727,1.829,5.906,1.366,-0.439
2015-02-02,1.005,0.902,-10.249,1.695,1.78,5.015,1.35,-0.667
2015-02-03,1.005,0.9,-10.448,1.725,1.801,4.406,1.365,-1.062
2015-02-04,1.006,0.91,-9.543,1.704,1.77,3.873,1.355,-1.107
2015-02-05,1.006,0.907,-9.841,1.686,1.78,5.575,1.346,-0.186
2015-02-06,1.006,0.931,-7.455,1.598,1.675,4.819,1.302,0.077
2015-02-09,1.006,0.911,-9.443,1.574,1.663,5.654,1.29,-0.233
2015-02-10,1.006,0.914,-9.145,1.626,1.69,3.936,1.316,-1.064
2015-02-11,1.007,0.919,-8.739,1.643,1.712,4.2,1.325,-0.717
2015-02-12,1.007,0.908,-9.831,1.651,1.74,5.391,1.329,-0.376
2015-02-13,1.007,0.911,-9.533,1.715,1.785,4.082,1.361,-0.955
2015-02-16,1.007,0.908,-9.831,1.719,1.795,4.421,1.363,-0.844
2015-02-17,1.008,0.929,-7.837,1.762,1.827,3.689,1.385,-0.505
2015-02-25,1.009,0.939,-6.938,1.715,1.779,3.732,1.362,-0.22
2015-02-26,1.009,0.933,-7.532,1.781,1.846,3.65,1.395,-0.394
2015-02-27,1.009,0.935,-7.334,1.779,1.834,3.092,1.394,-0.681
2015-03-02,1.01,0.933,-7.624,1.812,1.876,3.532,1.411,-0.461
2015-03-03,1.01,0.932,-7.723,1.728,1.79,3.588,1.369,-0.584
2015-03-04,1.01,0.929,-8.02,1.742,1.792,2.87,1.376,-1.126
2015-03-05,1.01,0.925,-8.416,1.712,1.76,2.804,1.361,-1.359
2015-03-06,1.01,0.928,-8.119,1.712,1.78,3.972,1.361,-0.514
2015-03-09,1.011,0.93,-8.012,1.751,1.813,3.541,1.381,-0.688
2015-03-10,1.011,0.943,-6.726,1.741,1.778,2.125,1.376,-1.126
2015-03-11,1.011,0.968,-4.253,1.751,1.773,1.256,1.381,-0.76
2015-03-12,1.011,0.99,-2.077,1.797,1.805,0.445,1.404,-0.463
2015-03-13,1.011,0.987,-2.374,1.799,1.806,0.389,1.405,-0.605
2015-03-16,1.012,0.987,-2.47,1.878,1.874,-0.213,1.445,-1.003
2015-03-17,1.012,0.999,-1.285,1.914,1.891,-1.202,1.463,-1.23
2015-03-18,1.012,1.006,-0.593,1.998,1.991,-0.35,1.505,-0.432
2015-03-19,1,0.965,-3.5,1,2.044,104.4,1,50.45
2015-03-20,1,0.965,-3.5,1.044,2.044,95.785,1.022,47.211
2015-03-23,1.001,0.9,-10.09,1.085,1.148,5.806,1.043,-1.822
2015-03-24,1.001,0.873,-12.787,1.083,1.263,16.62,1.042,2.495
2015-03-25,1.001,0.87,-13.087,1.077,1.231,14.299,1.039,1.107
2015-03-26,1.001,0.867,-13.387,1.077,1.224,13.649,1.039,0.626
2015-03-27,1.001,0.857,-14.386,1.153,1.332,15.525,1.077,1.625
2015-03-30,1.002,0.856,-14.571,1.262,1.465,16.086,1.132,2.518
2015-03-31,1.002,0.851,-15.07,1.224,1.48,20.915,1.113,4.717
2015-04-01,1.002,0.854,-14.77,1.23,1.427,16.016,1.116,2.195
2015-04-02,1.002,0.859,-14.271,1.222,1.368,11.948,1.112,0.135
2015-04-03,1.002,0.861,-14.072,1.232,1.357,10.146,1.117,-0.716
2015-04-07,1.003,0.858,-14.457,1.281,1.424,11.163,1.142,-0.088
2015-04-08,1.003,0.848,-15.454,1.299,1.449,11.547,1.151,-0.217
2015-04-09,1.003,0.849,-15.354,1.373,1.568,14.202,1.188,1.726
2015-04-10,1.003,0.848,-15.454,1.373,1.52,10.706,1.188,-0.337
2015-04-13,1.004,0.845,-15.837,1.398,1.527,9.227,1.201,-1.249
2015-04-14,1.004,0.855,-14.841,1.378,1.487,7.91,1.191,-1.679
2015-04-15,1.004,0.863,-14.044,1.31,1.436,9.618,1.157,-0.648
2015-04-16,1.004,0.863,-14.044,1.356,1.495,10.251,1.18,-0.085
2015-04-17,1.005,0.866,-13.831,1.383,1.495,8.098,1.194,-1.131
2015-04-20,1.005,0.866,-13.831,1.333,1.479,10.953,1.169,0.299
2015-04-21,1.005,0.867,-13.731,1.393,1.506,8.112,1.199,-1.043
2015-04-22,1.005,0.88,-12.438,1.463,1.549,5.878,1.234,-1.58
2015-04-23,1.006,0.875,-13.022,1.47,1.586,7.891,1.238,-0.606
2015-04-24,1.006,0.872,-13.32,1.444,1.585,9.765,1.225,0.286
