date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.006,0.834,-17.097,1.402,1.631,16.334,1.204,2.367
2015-01-06,1.006,0.833,-17.197,1.33,1.572,18.195,1.168,2.954
2015-01-07,1.007,0.831,-17.478,1.331,1.528,14.801,1.169,0.898
2015-01-08,1.007,0.835,-17.08,1.283,1.416,10.366,1.145,-1.703
2015-01-09,1.007,0.837,-16.882,1.261,1.401,11.102,1.134,-1.323
2015-01-12,1.007,0.837,-16.882,1.227,1.369,11.573,1.117,-1.253
2015-01-13,1.008,0.837,-16.964,1.222,1.379,12.848,1.115,-0.628
2015-01-14,1.008,0.839,-16.766,1.236,1.377,11.408,1.122,-1.248
2015-01-15,1.008,0.845,-16.171,1.322,1.49,12.708,1.165,0.215
2015-01-16,1.008,0.845,-16.171,1.336,1.472,10.18,1.172,-1.152
2015-01-19,1.009,0.85,-15.758,1.157,1.325,14.52,1.083,0.416
2015-01-20,1.009,0.85,-15.758,1.235,1.368,10.769,1.122,-1.159
2015-01-21,1.009,0.854,-15.362,1.349,1.475,9.34,1.179,-1.23
2015-01-22,1.009,0.857,-15.064,1.377,1.509,9.586,1.193,-0.838
2015-01-23,1.009,0.863,-14.47,1.375,1.522,10.691,1.192,0.042
2015-01-26,1.01,0.874,-13.465,1.388,1.501,8.141,1.199,-0.959
2015-01-27,1.01,0.872,-13.663,1.322,1.48,11.952,1.166,0.858
2015-01-28,1.01,0.872,-13.663,1.276,1.441,12.931,1.143,1.181
2015-01-29,1.01,0.862,-14.653,1.256,1.414,12.58,1.133,0.441
2015-01-30,1.01,0.86,-14.851,1.266,1.44,13.744,1.138,1.054
2015-02-02,1.011,0.859,-15.035,1.223,1.399,14.391,1.117,1.074
2015-02-03,1.011,0.86,-14.936,1.237,1.398,13.015,1.124,0.445
2015-02-04,1.011,0.864,-14.54,1.213,1.41,16.241,1.112,2.248
2015-02-05,1.011,0.86,-14.936,1.187,1.41,18.787,1.099,3.276
2015-02-06,1.011,0.86,-14.936,1.119,1.312,17.248,1.065,1.972
2015-02-09,1.012,0.867,-14.328,1.104,1.26,14.13,1.058,0.52
2015-02-10,1.012,0.87,-14.032,1.144,1.275,11.451,1.078,-0.51
2015-02-11,1.012,0.874,-13.636,1.152,1.268,10.069,1.082,-1.017
2015-02-12,1.012,0.881,-12.945,1.15,1.272,10.609,1.081,-0.416
2015-02-13,1.012,0.887,-12.352,1.21,1.313,8.512,1.111,-0.99
2015-02-16,1.013,0.889,-12.241,1.197,1.309,9.357,1.105,-0.543
2015-02-17,1.013,0.892,-11.945,1.239,1.336,7.829,1.126,-1.066
2015-02-25,1.014,0.889,-12.327,1.188,1.295,9.007,1.101,-0.817
2015-02-26,1.014,0.891,-12.13,1.242,1.352,8.857,1.128,-0.576
2015-02-27,1.015,0.89,-12.315,1.225,1.342,9.551,1.12,-0.357
2015-03-02,1.015,0.884,-12.906,1.243,1.362,9.574,1.129,-0.531
2015-03-03,1.015,0.883,-13.005,1.159,1.306,12.683,1.087,0.69
2015-03-04,1.015,0.88,-13.3,1.159,1.306,12.683,1.087,0.552
2015-03-05,1.016,0.88,-13.386,1.118,1.258,12.522,1.067,0.187
2015-03-06,1.016,0.885,-12.894,1.112,1.25,12.41,1.064,0.329
2015-03-09,1.016,0.885,-12.894,1.146,1.271,10.908,1.081,-0.278
2015-03-10,1.016,0.885,-12.894,1.126,1.25,11.012,1.071,-0.327
2015-03-11,1.017,0.888,-12.684,1.125,1.249,11.022,1.071,-0.233
2015-03-12,1.017,0.889,-12.586,1.163,1.28,10.06,1.09,-0.505
2015-03-13,1.017,0.89,-12.488,1.155,1.282,10.996,1.086,0
2015-03-16,1.017,0.895,-11.996,1.227,1.314,7.09,1.122,-1.56
2015-03-17,1.017,0.91,-10.521,1.257,1.339,6.523,1.137,-1.099
2015-03-18,1.018,0.926,-9.037,1.332,1.4,5.105,1.175,-1.021
2015-03-19,1.018,0.926,-9.037,1.306,1.381,5.743,1.162,-0.731
2015-03-20,1.018,0.915,-10.118,1.374,1.48,7.715,1.196,0.125
2015-03-23,1.018,0.897,-11.886,1.418,1.549,9.238,1.218,0.411
2015-03-24,1.019,0.893,-12.365,1.405,1.517,7.972,1.212,-0.578
2015-03-25,1.019,0.903,-11.384,1.373,1.47,7.065,1.196,-0.794
