date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.022,0.95,-7.045,1.509,1.641,8.748,1.168,-0.916
2015-01-06,1.022,0.95,-7.045,1.512,1.664,10.053,1.169,-0.411
2015-01-07,1.022,0.957,-6.36,1.515,1.683,11.089,1.17,0.41
2015-01-08,1.023,0.956,-6.549,1.5,1.664,10.933,1.166,0.206
2015-01-09,1.023,0.952,-6.94,1.5,1.658,10.533,1.166,-0.189
2015-01-12,1.023,0.952,-6.94,1.496,1.651,10.361,1.165,-0.283
2015-01-13,1.023,0.951,-7.038,1.503,1.646,9.514,1.167,-0.643
2015-01-14,1.023,0.95,-7.136,1.503,1.642,9.248,1.167,-0.805
2015-01-15,1.023,0.948,-7.331,1.533,1.666,8.676,1.176,-1.071
2015-01-16,1.023,0.953,-6.843,1.533,1.69,10.241,1.176,-0.162
2015-01-19,1.024,0.955,-6.738,1.477,1.68,13.744,1.16,1.078
2015-01-20,1.024,0.953,-6.934,1.491,1.642,10.127,1.164,-0.369
2015-01-21,1.024,0.953,-6.934,1.517,1.658,9.295,1.172,-0.64
2015-01-22,1.024,0.96,-6.25,1.527,1.658,8.579,1.175,-0.477
2015-01-23,1.024,0.963,-5.957,1.531,1.661,8.491,1.176,-0.306
2015-01-26,1.025,0.967,-5.659,1.532,1.668,8.877,1.177,0.025
2015-01-27,1.025,0.973,-5.073,1.528,1.638,7.199,1.176,-0.298
2015-01-28,1.025,0.973,-5.073,1.515,1.641,8.317,1.172,0.119
2015-01-29,1.025,0.974,-4.976,1.495,1.64,9.699,1.166,0.669
2015-01-30,1.025,0.973,-5.073,1.488,1.625,9.207,1.164,0.395
2015-02-02,1.025,0.959,-6.439,1.472,1.594,8.288,1.159,-0.82
2015-02-03,1.025,0.966,-5.756,1.485,1.595,7.407,1.163,-0.714
2015-02-04,1.026,0.968,-5.653,1.476,1.597,8.198,1.161,-0.37
2015-02-05,1.026,0.966,-5.848,1.473,1.598,8.486,1.16,-0.379
2015-02-06,1.026,0.967,-5.75,1.466,1.586,8.186,1.158,-0.458
2015-02-09,1.026,0.97,-5.458,1.473,1.58,7.264,1.16,-0.603
2015-02-10,1.026,0.964,-6.043,1.483,1.598,7.755,1.163,-0.757
2015-02-11,1.026,0.969,-5.556,1.489,1.643,10.343,1.165,0.532
2015-02-12,1.026,0.967,-5.75,1.496,1.615,7.955,1.167,-0.48
2015-02-13,1.027,0.968,-5.745,1.497,1.635,9.218,1.168,0.009
2015-02-16,1.027,0.968,-5.745,1.514,1.629,7.596,1.173,-0.571
2015-02-17,1.027,0.973,-5.258,1.524,1.642,7.743,1.176,-0.196
2015-02-25,1.028,0.974,-5.253,1.521,1.631,7.232,1.176,-0.417
