date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,1.008,0.699,1.705,1.743,2.229,1.353,1.663
2015-01-06,1.001,1.008,0.699,1.703,1.728,1.468,1.352,1.183
2015-01-07,1.001,0.958,-4.296,1.703,1.727,1.409,1.352,-0.703
2015-01-08,1.001,0.963,-3.796,1.641,1.678,2.255,1.321,-0.038
2015-01-09,1.002,0.945,-5.689,1.63,1.676,2.822,1.316,-0.418
2015-01-12,1.002,0.931,-7.086,1.606,1.652,2.864,1.304,-0.959
2015-01-13,1.002,0.956,-4.591,1.606,1.65,2.74,1.304,-0.077
2015-01-14,1.002,0.95,-5.19,1.598,1.636,2.378,1.3,-0.538
2015-01-15,1.003,0.954,-4.885,1.669,1.686,1.019,1.336,-1.198
2015-01-16,1.003,0.954,-4.885,1.689,1.713,1.421,1.346,-0.929
2015-01-19,1.003,0.956,-4.686,1.489,1.542,3.559,1.246,0.241
2015-01-20,1.003,0.956,-4.686,1.519,1.55,2.041,1.261,-0.634
2015-01-21,1.004,0.963,-4.084,1.624,1.639,0.924,1.314,-0.989
2015-01-22,1.004,0.977,-2.689,1.636,1.652,0.978,1.32,-0.417
2015-01-23,1.004,0.978,-2.59,1.64,1.634,-0.366,1.322,-1.21
2015-01-26,1.004,1.01,0.598,1.662,1.65,-0.722,1.333,-0.225
2015-01-27,1.005,0.988,-1.692,1.637,1.621,-0.977,1.321,-1.249
2015-01-28,1.005,0.992,-1.294,1.603,1.598,-0.312,1.304,-0.69
2015-01-29,1.005,0.983,-2.189,1.571,1.56,-0.7,1.288,-1.281
2015-01-30,1.005,0.988,-1.692,1.541,1.549,0.519,1.273,-0.353
2015-02-02,1.006,0.978,-2.783,1.484,1.487,0.202,1.245,-1.004
2015-02-03,1.006,0.993,-1.292,1.542,1.538,-0.259,1.274,-0.667
2015-02-04,1.006,1.001,-0.497,1.516,1.53,0.923,1.261,0.357
2015-02-05,1.006,0.975,-3.082,1.492,1.512,1.34,1.249,-0.44
2015-02-06,1.006,0.983,-2.286,1.452,1.465,0.895,1.229,-0.407
2015-02-09,1.007,0.99,-1.688,1.475,1.46,-1.017,1.241,-1.289
2015-02-10,1.007,0.995,-1.192,1.517,1.529,0.791,1.262,0
2015-02-11,1.007,1.008,0.099,1.535,1.525,-0.651,1.271,-0.354
2015-02-12,1.007,1.002,-0.497,1.541,1.533,-0.519,1.274,-0.51
2015-02-13,1.008,1.001,-0.694,1.56,1.55,-0.641,1.284,-0.662
2015-02-16,1.008,1.009,0.099,1.58,1.551,-1.835,1.294,-1.082
2015-02-17,1.008,1.01,0.198,1.598,1.576,-1.377,1.303,-0.767
2015-02-25,1.01,1.019,0.891,1.564,1.543,-1.343,1.287,-0.466
2015-02-26,1.01,1.014,0.396,1.626,1.59,-2.214,1.318,-1.214
2015-02-27,1.01,1.027,1.683,1.63,1.598,-1.963,1.32,-0.568
2015-03-02,1.01,1.021,1.089,1.65,1.614,-2.182,1.33,-0.94
2015-03-03,1.011,1.018,0.692,1.581,1.569,-0.759,1.296,-0.193
2015-03-04,1.011,1.018,0.692,1.597,1.577,-1.252,1.304,-0.498
2015-03-05,1.011,1.018,0.692,1.571,1.547,-1.528,1.291,-0.658
2015-03-06,1.011,1.02,0.89,1.557,1.533,-1.541,1.284,-0.584
2015-03-09,1.012,1.029,1.68,1.6,1.566,-2.125,1.306,-0.651
2015-03-10,1.012,1.032,1.976,1.588,1.563,-1.574,1.3,-0.192
2015-03-11,1.012,1.03,1.779,1.59,1.572,-1.132,1.301,0
2015-03-12,1.012,1.021,0.889,1.64,1.621,-1.159,1.326,-0.377
2015-03-13,1.012,1.021,0.889,1.658,1.655,-0.181,1.335,0.225
2015-03-16,1.013,1.028,1.481,1.719,1.69,-1.687,1.366,-0.512
2015-03-17,1.013,1.028,1.481,1.753,1.707,-2.624,1.383,-1.121
2015-03-18,1.013,1.028,1.481,1.813,1.8,-0.717,1.413,0.071
2015-03-19,1.013,1.034,2.073,1.809,1.788,-1.161,1.411,0
2015-03-20,1.014,1.034,1.972,1.842,1.806,-1.954,1.428,-0.56
2015-03-23,1.014,1.04,2.564,1.898,1.847,-2.687,1.456,-0.859
2015-03-24,1.014,1.034,1.972,1.9,1.831,-3.632,1.457,-1.682
2015-03-25,1.014,1.046,3.156,1.874,1.823,-2.721,1.444,-0.658
2015-03-26,1.015,1.046,3.054,1.879,1.835,-2.342,1.447,-0.449
2015-03-27,1.015,1.151,13.399,1.895,1.839,-2.955,1.455,2.749
2015-03-30,1.015,1.064,4.828,1.979,1.934,-2.274,1.497,0.134
2015-03-31,1.015,1.054,3.842,1.951,1.889,-3.178,1.483,-0.775
2015-04-01,1.016,1.045,2.854,2,1.963,-1.85,1.508,-0.265
2015-04-02,1.016,1.049,3.248,2.004,1.937,-3.343,1.51,-1.126
2015-04-03,1.016,1.057,4.035,2.038,1.961,-3.778,1.527,-1.179
2015-04-07,1.017,1.057,3.933,2.097,2.026,-3.386,1.557,-0.996
2015-04-08,1.017,1.038,2.065,2.119,2.057,-2.926,1.568,-1.307
2015-04-09,1.017,1.056,3.835,2.091,2.043,-2.296,1.554,-0.29
2015-04-10,1.017,1.05,3.245,2.153,2.108,-2.09,1.585,-0.379
2015-04-13,1.018,1.076,5.697,2.202,2.158,-1.998,1.61,0.435
2015-04-14,1.018,1.148,12.77,2.212,2.17,-1.899,1.615,2.724
2015-04-15,1.018,1.145,12.475,2.168,2.148,-0.923,1.593,3.358
2015-04-16,1.018,1.084,6.483,2.256,2.185,-3.147,1.637,-0.153
2015-04-17,1.018,1.07,5.108,2.306,2.301,-0.217,1.662,1.414
2015-04-20,1.019,1.084,6.379,2.255,2.29,1.552,1.637,3.054
2015-04-21,1.019,1.062,4.22,2.327,2.3,-1.16,1.673,0.478
2015-04-22,1.019,1.049,2.944,2.409,2.373,-1.494,1.714,-0.175
2015-04-23,1.019,1.037,1.766,2.409,2.366,-1.785,1.714,-0.729
2015-04-24,1.02,1.038,1.765,2.374,2.338,-1.516,1.697,-0.53
2015-04-27,1.02,1.05,2.941,2.444,2.369,-3.069,1.732,-1.299
2015-04-28,1.02,1.045,2.451,2.402,2.336,-2.748,1.711,-1.198
2015-04-29,1.02,1.063,4.216,2.424,2.353,-2.929,1.722,-0.813
2015-04-30,1.021,1.068,4.603,2.411,2.336,-3.111,1.716,-0.816
2015-05-04,1.021,1.074,5.191,2.441,2.338,-4.22,1.731,-1.444
2015-05-05,1.021,1.072,4.995,2.281,2.241,-1.754,1.651,0.333
2015-05-06,1.022,1.061,3.816,2.264,2.194,-3.092,1.643,-0.943
2015-05-07,1.022,1.063,4.012,2.204,2.188,-0.726,1.613,0.775
2015-05-08,1.022,1.045,2.25,2.266,2.211,-2.427,1.644,-0.973
2015-05-11,1.022,1.058,3.523,2.356,2.28,-3.226,1.689,-1.184
2015-05-12,1.023,1.066,4.203,2.399,2.31,-3.71,1.711,-1.344
2015-05-13,1.023,1.079,5.474,2.381,2.288,-3.906,1.702,-1.087
2015-05-14,1.023,1.071,4.692,2.367,2.27,-4.098,1.695,-1.445
2015-05-15,1.023,1.095,7.038,2.309,2.246,-2.728,1.666,0.27
2015-05-18,1.024,1.064,3.906,2.282,2.202,-3.506,1.653,-1.21
2015-05-19,1.024,1.105,7.91,2.388,2.3,-3.685,1.706,-0.205
2015-05-20,1.024,1.089,6.348,2.408,2.359,-2.035,1.716,0.466
2015-05-21,1.024,1.09,6.445,2.466,2.394,-2.92,1.745,-0.172
2015-05-22,1.024,1.08,5.469,2.536,2.495,-1.617,1.78,0.421
2015-05-25,1.025,1.056,3.024,2.627,2.745,4.492,1.826,4.08
2015-05-26,1.025,1.067,4.098,2.691,2.899,7.729,1.858,6.728
2015-05-27,1.025,1.029,0.39,2.689,2.75,2.269,1.857,1.75
2015-05-28,1.025,0.982,-4.195,2.499,2.491,-0.32,1.762,-1.447
2015-05-29,1.026,1.015,-1.072,2.506,2.526,0.798,1.766,0.255
2015-06-01,1.026,1,-2.534,2.66,2.692,1.203,1.843,0.163
2015-06-02,1.026,0.995,-3.021,2.718,2.745,0.993,1.872,-0.107
2015-06-03,1.026,0.974,-5.068,2.708,2.71,0.074,1.867,-1.339
2015-06-04,1.027,1.003,-2.337,2.729,2.733,0.147,1.878,-0.532
2015-06-05,1.027,1,-2.629,2.763,2.776,0.471,1.895,-0.369
2015-06-08,1.027,1.005,-2.142,2.837,2.94,3.631,1.932,2.096
2015-06-09,1.027,0.996,-3.019,2.815,2.934,4.227,1.921,2.29
2015-06-10,1.028,0.962,-6.42,2.826,2.907,2.866,1.927,0.389
2015-06-11,1.028,0.95,-7.588,2.826,2.874,1.699,1.927,-0.778
2015-06-12,1.028,0.964,-6.226,2.85,2.905,1.93,1.939,-0.232
2015-06-15,1.028,0.964,-6.226,2.772,2.808,1.299,1.9,-0.737
2015-06-16,1.029,0.975,-5.248,2.661,2.69,1.09,1.845,-0.678
2015-06-17,1.029,0.998,-3.013,2.713,2.73,0.627,1.871,-0.374
2015-06-18,1.029,1.008,-2.041,2.569,2.553,-0.623,1.799,-1.028
2015-06-19,1.029,1.008,-2.041,2.363,2.41,1.989,1.696,0.767
2015-06-23,1.03,1.01,-1.942,2.468,2.48,0.486,1.749,-0.229
2015-06-24,1.03,1.01,-1.942,2.534,2.63,3.788,1.782,2.132
2015-06-25,1.03,1,-2.913,2.41,2.499,3.693,1.72,1.715
2015-06-26,1.03,0.989,-3.981,2.148,2.249,4.702,1.589,1.888
2015-06-29,1.031,0.962,-6.693,2.041,2.25,10.24,1.536,4.557
2015-06-30,1.031,0.948,-8.05,2.233,2.474,10.793,1.632,4.841
2015-07-01,1.031,0.95,-7.856,2.085,2.391,14.676,1.558,7.221
2015-07-02,1.031,0.924,-10.378,1.979,2.222,12.279,1.505,4.518
2015-07-03,1.032,0.92,-10.853,1.836,2.05,11.656,1.434,3.556
2015-07-06,1.032,0.924,-10.465,1.902,2.255,18.559,1.467,8.35
2015-07-07,1.032,0.879,-14.826,1.84,2.257,22.663,1.436,9.192
2015-07-08,1.032,0.831,-19.477,1.668,2.031,21.763,1.35,6
2015-07-09,1.033,0.892,-13.65,1.823,2.234,22.545,1.428,9.454
2015-07-10,1.033,0.898,-13.069,1.965,2.283,16.183,1.499,6.104
2015-07-13,1.033,0.87,-15.779,2.045,2.171,6.161,1.539,-1.202
2015-07-14,1.033,0.916,-11.326,1.985,2.013,1.411,1.509,-2.949
2015-07-15,1.034,0.956,-7.544,1.882,1.867,-0.797,1.458,-3.189
2015-07-16,1.034,0.98,-5.222,1.906,1.858,-2.518,1.47,-3.469
2015-07-17,1.034,1.02,-1.354,2.016,1.98,-1.786,1.525,-1.639
2015-07-20,1.034,1.018,-1.547,2.026,1.972,-2.665,1.53,-2.288
2015-07-21,1.035,1.036,0.097,2.037,2.011,-1.276,1.536,-0.814
2015-07-22,1.035,1.025,-0.966,2.033,2.003,-1.476,1.534,-1.304
2015-07-23,1.035,1.047,1.159,2.107,2.094,-0.617,1.571,-0.032
2015-07-24,1.035,1.048,1.256,2.051,2.076,1.219,1.543,1.231
2015-07-27,1.036,0.99,-4.44,1.792,1.868,4.241,1.414,1.061
