date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.003,0.852,-15.055,1.125,1.278,13.6,1.064,0.094
2015-01-06,1.004,0.853,-15.04,1.19,1.392,16.975,1.097,2.325
2015-01-07,1.004,0.855,-14.841,1.176,1.372,16.667,1.09,2.156
2015-01-08,1.004,0.855,-14.841,1.174,1.363,16.099,1.089,1.837
2015-01-09,1.004,0.856,-14.741,1.158,1.315,13.558,1.081,0.416
2015-01-12,1.005,0.857,-14.726,1.157,1.286,11.15,1.081,-0.879
2015-01-13,1.005,0.858,-14.627,1.183,1.314,11.074,1.094,-0.731
2015-01-14,1.005,0.861,-14.328,1.185,1.315,10.97,1.095,-0.639
2015-01-15,1.005,0.867,-13.731,1.185,1.31,10.549,1.095,-0.594
2015-01-16,1.005,0.867,-13.731,1.203,1.328,10.391,1.104,-0.589
2015-01-19,1.006,0.873,-13.221,1.148,1.277,11.237,1.077,-0.186
2015-01-20,1.006,0.878,-12.724,1.2,1.311,9.25,1.103,-0.771
2015-01-21,1.006,0.878,-12.724,1.238,1.346,8.724,1.122,-0.891
2015-01-22,1.006,0.881,-12.425,1.26,1.373,8.968,1.133,-0.53
2015-01-23,1.006,0.881,-12.425,1.24,1.348,8.71,1.123,-0.757
2015-01-26,1.007,0.895,-11.122,1.279,1.38,7.897,1.143,-0.481
2015-01-27,1.007,0.905,-10.129,1.277,1.365,6.891,1.142,-0.613
2015-01-28,1.007,0.903,-10.328,1.267,1.349,6.472,1.137,-0.967
2015-01-29,1.007,0.9,-10.626,1.231,1.318,7.067,1.119,-0.894
2015-01-30,1.007,0.902,-10.427,1.221,1.316,7.781,1.114,-0.449
2015-02-02,1.008,0.897,-11.012,1.22,1.315,7.787,1.114,-0.718
2015-02-03,1.008,0.897,-11.012,1.236,1.329,7.524,1.122,-0.802
2015-02-04,1.008,0.898,-10.913,1.21,1.308,8.099,1.109,-0.541
2015-02-05,1.008,0.901,-10.615,1.19,1.289,8.319,1.099,-0.364
2015-02-06,1.009,0.903,-10.505,1.161,1.255,8.096,1.085,-0.553
2015-02-09,1.009,0.911,-9.713,1.161,1.251,7.752,1.085,-0.369
2015-02-10,1.009,0.91,-9.812,1.177,1.262,7.222,1.093,-0.64
2015-02-11,1.009,0.915,-9.316,1.199,1.276,6.422,1.104,-0.77
2015-02-12,1.01,0.914,-9.505,1.2,1.283,6.917,1.105,-0.588
2015-02-13,1.01,0.921,-8.812,1.234,1.311,6.24,1.122,-0.535
2015-02-16,1.01,0.922,-8.713,1.258,1.327,5.485,1.134,-0.838
2015-02-17,1.01,0.928,-8.119,1.27,1.334,5.039,1.14,-0.789
2015-02-25,1.012,0.937,-7.411,1.274,1.334,4.71,1.143,-0.656
2015-02-26,1.012,0.937,-7.411,1.284,1.342,4.517,1.148,-0.74
2015-02-27,1.012,0.951,-6.028,1.288,1.325,2.873,1.15,-1.043
2015-03-02,1.013,0.948,-6.417,1.303,1.348,3.454,1.158,-0.864
2015-03-03,1.013,0.947,-6.515,1.305,1.354,3.755,1.159,-0.733
2015-03-04,1.013,0.951,-6.12,1.375,1.41,2.545,1.194,-1.131
2015-03-05,1.013,0.963,-4.936,1.381,1.409,2.028,1.197,-0.919
2015-03-06,1.013,0.97,-4.245,1.331,1.356,1.878,1.172,-0.768
2015-03-09,1.014,0.969,-4.438,1.354,1.381,1.994,1.184,-0.76
2015-03-10,1.014,0.971,-4.241,1.386,1.402,1.154,1.2,-1.125
2015-03-11,1.014,0.971,-4.241,1.364,1.385,1.54,1.189,-0.925
2015-03-12,1.014,0.969,-4.438,1.364,1.387,1.686,1.189,-0.925
2015-03-13,1.014,0.971,-4.241,1.384,1.407,1.662,1.199,-0.834
2015-03-16,1.015,0.973,-4.138,1.447,1.465,1.244,1.231,-0.975
2015-03-17,1.015,0.978,-3.645,1.459,1.464,0.343,1.237,-1.293
2015-03-18,1.015,1.004,-1.084,1.495,1.489,-0.401,1.255,-0.677
2015-03-19,1.015,1.006,-0.887,1.483,1.475,-0.539,1.249,-0.681
2015-03-20,1.015,1.005,-0.985,1.507,1.496,-0.73,1.261,-0.833
2015-03-23,1.016,0.995,-2.067,1.552,1.548,-0.258,1.284,-0.974
2015-03-24,1.016,1.003,-1.28,1.586,1.574,-0.757,1.301,-0.961
2015-03-25,1.016,1.009,-0.689,1.612,1.624,0.744,1.314,0.19
2015-03-26,1.016,1,-1.575,1.584,1.584,0,1.3,-0.615
2015-03-27,1.017,1.019,0.197,1.613,1.591,-1.364,1.315,-0.76
2015-03-30,1.017,1.028,1.082,1.645,1.62,-1.52,1.331,-0.526
2015-03-31,1.017,1.014,-0.295,1.647,1.633,-0.85,1.332,-0.638
2015-04-01,1.017,1.029,1.18,1.725,1.68,-2.609,1.371,-1.204
2015-04-02,1.018,1.033,1.473,1.75,1.716,-1.943,1.384,-0.686
2015-04-03,1.018,1.036,1.768,1.786,1.748,-2.128,1.402,-0.713
2015-04-07,1.018,1.015,-0.295,1.854,1.895,2.211,1.436,1.323
2015-04-08,1.019,1.001,-1.766,1.819,1.843,1.319,1.419,0.211
2015-04-09,1.019,1.025,0.589,1.809,1.781,-1.548,1.414,-0.778
2015-04-10,1.019,1.006,-1.276,1.903,1.92,0.893,1.461,0.137
2015-04-13,1.019,0.945,-7.262,2.015,2.112,4.814,1.517,0.758
2015-04-14,1,0.932,-6.8,1,2.106,110.6,1,51.9
2015-04-15,1,0.932,-6.8,0.93,2.106,126.452,0.965,57.409
2015-04-16,1,0.913,-8.7,0.966,1.023,5.901,0.983,-1.526
2015-04-17,1,0.889,-11.1,0.956,1.061,10.983,0.978,-0.307
2015-04-20,1.001,0.893,-10.789,0.887,0.999,12.627,0.944,0.212
2015-04-21,1.001,0.895,-10.589,0.955,1.058,10.785,0.978,-0.153
2015-04-22,1.001,0.9,-10.09,0.995,1.12,12.563,0.998,1.202
2015-04-23,1.001,0.89,-11.089,0.997,1.12,12.337,0.999,0.601
2015-04-24,1.002,0.889,-11.277,0.998,1.098,10.02,1,-0.65
2015-04-27,1.002,0.894,-10.778,1.014,1.093,7.791,1.008,-1.438
2015-04-28,1.002,0.884,-11.776,0.958,1.062,10.856,0.98,-0.714
2015-04-29,1.002,0.894,-10.778,0.994,1.087,9.356,0.998,-0.752
2015-04-30,1.003,0.893,-10.967,0.991,1.09,9.99,0.997,-0.552
2015-05-04,1.003,0.895,-10.768,0.989,1.076,8.797,0.996,-1.054
2015-05-05,1.003,0.89,-11.266,0.951,1.05,10.41,0.977,-0.716
2015-05-06,1.004,0.889,-11.454,0.944,1.065,12.818,0.974,0.308
2015-05-07,1.004,0.878,-12.55,0.914,1.044,14.223,0.959,0.209
2015-05-08,1.004,0.886,-11.753,0.968,1.073,10.847,0.986,-0.659
2015-05-11,1.004,0.894,-10.956,1.038,1.125,8.382,1.021,-1.126
2015-05-12,1.005,0.895,-10.945,1.061,1.163,9.614,1.033,-0.387
2015-05-13,1.005,0.894,-11.045,1.069,1.159,8.419,1.037,-1.013
2015-05-14,1.005,0.912,-9.254,1.065,1.137,6.761,1.035,-1.014
2015-05-15,1.005,0.915,-8.955,1.039,1.103,6.16,1.022,-1.272
2015-05-18,1.006,0.917,-8.847,1.094,1.16,6.033,1.05,-1.095
2015-05-19,1.006,0.927,-7.853,1.134,1.189,4.85,1.07,-1.121
2015-05-20,1.006,0.914,-9.145,1.16,1.22,5.172,1.083,-1.477
2015-05-21,1.006,0.912,-9.344,1.256,1.342,6.847,1.131,-0.354
2015-05-22,1.006,0.909,-9.642,1.278,1.393,8.998,1.142,0.788
2015-05-25,1.007,0.898,-10.824,1.335,1.511,13.184,1.171,2.861
2015-05-26,1.007,0.889,-11.718,1.385,1.662,20,1.196,6.647
