date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.006,0.875,-13.022,1.3243,1.495,12.89,1.1651,1.708
2015-01-06,1.0062,0.874,-13.139,1.2945,1.44,11.24,1.1503,0.582
2015-01-07,1.0063,0.874,-13.147,1.2937,1.443,11.541,1.15,0.739
2015-01-08,1.0065,0.873,-13.264,1.2898,1.451,12.498,1.1481,1.211
2015-01-09,1.0067,0.874,-13.182,1.2984,1.489,14.68,1.1525,2.516
2015-01-12,1.0072,0.877,-12.927,1.2863,1.429,11.094,1.1468,0.541
2015-01-13,1.0073,0.882,-12.439,1.2871,1.449,12.579,1.1472,1.595
2015-01-14,1.0075,0.882,-12.457,1.2741,1.431,12.315,1.1408,1.376
2015-01-15,1.0077,0.888,-11.879,1.3036,1.43,9.696,1.1556,0.294
2015-01-16,1.0078,0.887,-11.987,1.2826,1.421,10.791,1.1452,0.768
2015-01-19,1.0083,0.886,-12.129,1.1837,1.307,10.416,1.096,0.046
2015-01-20,1.0085,0.884,-12.345,1.2275,1.345,9.572,1.118,-0.313
2015-01-21,1.0087,0.884,-12.362,1.2796,1.405,9.8,1.1441,0.035
2015-01-22,1.0088,0.884,-12.371,1.2813,1.415,10.435,1.1451,0.384
2015-01-23,1.009,0.887,-12.091,1.3231,1.44,8.835,1.1661,-0.223
2015-01-26,1.0095,0.895,-11.342,1.321,1.435,8.63,1.1653,-0.026
2015-01-27,1.0097,0.904,-10.468,1.2863,1.42,10.394,1.148,1.22
2015-01-28,1.0098,0.901,-10.774,1.2675,1.412,11.4,1.1387,1.563
2015-01-29,1.01,0.891,-11.782,1.2287,1.352,10.035,1.1194,0.188
2015-01-30,1.0102,0.888,-12.097,1.224,1.356,10.784,1.1171,0.439
2015-02-02,1.0107,0.888,-12.14,1.1972,1.311,9.506,1.1039,-0.399
2015-02-03,1.0109,0.892,-11.762,1.2288,1.338,8.887,1.1198,-0.429
2015-02-04,1.011,0.895,-11.474,1.2237,1.344,9.831,1.1174,0.188
2015-02-05,1.0112,0.894,-11.59,1.2271,1.357,10.586,1.1191,0.572
2015-02-06,1.0114,0.894,-11.608,1.2072,1.316,9.013,1.1093,-0.388
2015-02-09,1.0119,0.897,-11.355,1.1984,1.315,9.73,1.1051,0.081
2015-02-10,1.012,0.9,-11.067,1.2073,1.305,8.092,1.1097,-0.649
2015-02-11,1.0122,0.903,-10.788,1.2017,1.303,8.43,1.107,-0.361
2015-02-12,1.0124,0.908,-10.312,1.2243,1.309,6.918,1.1184,-0.885
2015-02-13,1.0125,0.913,-9.827,1.2483,1.328,6.385,1.1304,-0.876
2015-02-16,1.013,0.916,-9.576,1.2486,1.33,6.519,1.1308,-0.69
2015-02-17,1.0132,0.926,-8.606,1.2611,1.347,6.812,1.1372,-0.062
2015-02-25,1.0146,0.927,-8.634,1.2758,1.331,4.327,1.1452,-1.415
2015-02-26,1.0147,0.93,-8.347,1.305,1.363,4.444,1.1599,-1.155
2015-02-27,1.0149,0.932,-8.168,1.3018,1.368,5.085,1.1583,-0.717
2015-03-02,1.0154,0.932,-8.214,1.3074,1.369,4.712,1.1614,-0.939
2015-03-03,1.0156,0.926,-8.822,1.2555,1.347,7.288,1.1355,0.088
2015-03-04,1.0157,0.926,-8.831,1.215,1.321,8.724,1.1154,0.726
2015-03-05,1.0159,0.922,-9.243,1.1899,1.291,8.497,1.1029,0.326
2015-03-06,1.0161,0.923,-9.162,1.1916,1.291,8.342,1.1038,0.29
2015-03-09,1.0166,0.917,-9.797,1.2026,1.308,8.764,1.1096,0.261
2015-03-10,1.0167,0.917,-9.806,1.1697,1.298,10.969,1.0932,1.308
2015-03-11,1.0169,0.917,-9.824,1.1534,1.27,10.109,1.0851,0.774
2015-03-12,1.0171,0.92,-9.547,1.1771,1.282,8.912,1.0971,0.355
2015-03-13,1.0173,0.919,-9.663,1.2036,1.303,8.259,1.1104,0.054
2015-03-16,1.0178,0.927,-8.921,1.2234,1.314,7.406,1.1206,-0.009
2015-03-17,1.0179,0.93,-8.635,1.2272,1.311,6.829,1.1226,-0.187
2015-03-18,1.0181,0.935,-8.162,1.253,1.342,7.103,1.1355,0.264
2015-03-19,1.0183,0.939,-7.787,1.2778,1.346,5.337,1.148,-0.479
2015-03-20,1.0184,0.934,-8.288,1.2853,1.365,6.201,1.1519,-0.208
2015-03-23,1.0189,0.934,-8.333,1.2886,1.37,6.317,1.1538,-0.156
2015-03-24,1.0191,0.929,-8.841,1.2552,1.357,8.11,1.1372,0.51
2015-03-25,1.0193,0.927,-9.055,1.2487,1.339,7.232,1.134,-0.088
2015-03-26,1.0195,0.93,-8.779,1.2365,1.329,7.481,1.128,0.133
2015-03-27,1.0196,0.925,-9.278,1.2356,1.329,7.559,1.1276,-0.053
2015-03-30,1.0201,0.925,-9.323,1.3145,1.462,11.221,1.1673,2.244
2015-03-31,1.0203,0.911,-10.713,1.317,1.536,16.629,1.1687,4.689
2015-04-01,1.0205,0.902,-11.612,1.3151,1.498,13.908,1.1678,2.757
2015-04-02,1.0206,0.906,-11.229,1.3261,1.648,24.274,1.1734,8.829
2015-04-03,1.0206,0.906,-11.229,1.3261,1.813,36.717,1.1734,15.86
2015-04-07,1.0206,0.898,-12.013,1.3261,1.958,47.651,1.1734,21.698
2015-04-08,1.0217,0.879,-13.967,1.3571,1.999,47.299,1.1894,20.985
2015-04-09,1.0218,0.906,-11.333,1.4062,2.199,56.379,1.214,27.883
