date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.044,0.963,-7.759,1.457,1.676,15.031,1.168,0.771
2015-01-06,1,0.963,-3.7,1.487,1.675,12.643,1.146,2.67
2015-01-07,1,0.927,-7.3,1.493,1.843,23.443,1.148,4.686
2015-01-08,1,0.905,-9.5,1.477,2.027,37.238,1.143,8.626
2015-01-09,1,0.889,-11.1,1.48,2.229,50.608,1.144,12.85
2015-01-12,1.001,0.861,-13.986,1.481,2.006,35.449,1.145,5.197
2015-01-13,1.001,0.834,-16.683,1.484,1.86,25.337,1.146,-0.366
2015-01-14,1.001,0.86,-14.086,1.491,1.805,21.06,1.148,-0.392
2015-01-15,1.001,0.86,-14.086,1.504,1.807,20.146,1.152,-0.686
2015-01-16,1.001,0.847,-15.385,1.518,1.855,22.2,1.156,-0.571
2015-01-19,1.002,0.855,-14.671,1.489,1.834,23.17,1.148,0.061
2015-01-20,1.002,0.859,-14.271,1.495,1.827,22.207,1.15,-0.052
2015-01-21,1.002,0.86,-14.172,1.499,1.831,22.148,1.151,0.026
2015-01-22,1.002,0.862,-13.972,1.499,1.822,21.548,1.151,-0.087
2015-01-23,1.002,0.868,-13.373,1.512,1.816,20.106,1.155,-0.225
2015-01-26,1.002,0.873,-12.874,1.515,1.818,20,1.156,0.043
2015-01-27,1.003,0.876,-12.662,1.516,1.806,19.129,1.157,-0.173
2015-01-28,1.003,0.873,-12.961,1.513,1.803,19.167,1.156,-0.346
2015-01-29,1.003,0.873,-12.961,1.52,1.8,18.421,1.158,-0.596
2015-01-30,1.003,0.872,-13.061,1.523,1.816,19.238,1.159,-0.328
2015-02-02,1.003,0.872,-13.061,1.523,1.816,19.238,1.159,-0.328
2015-02-03,1.003,0.873,-12.961,1.52,1.814,19.342,1.158,-0.233
2015-02-04,1.003,0.873,-12.961,1.516,1.815,19.723,1.157,-0.121
2015-02-05,1.004,0.873,-13.048,1.517,1.816,19.71,1.158,-0.181
2015-02-06,1.004,0.872,-13.147,1.524,1.81,18.766,1.16,-0.569
2015-02-09,1.004,0.871,-13.247,1.527,1.822,19.319,1.161,-0.405
2015-02-10,1.004,0.867,-13.645,1.521,1.841,21.039,1.159,0.017
2015-02-11,1.004,0.869,-13.446,1.524,1.839,20.669,1.16,0
2015-02-12,1.004,0.872,-13.147,1.527,1.831,19.908,1.161,-0.112
