date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.001,1.028,2.697,1.604,1.568,-2.264,1.363,-0.807
2015-01-06,1.001,1.028,2.697,1.586,1.564,-1.387,1.352,-0.178
2015-01-07,1.001,0.99,-1.099,1.623,1.6,-1.417,1.374,-1.31
2015-01-08,1.001,1.025,2.398,1.569,1.552,-1.083,1.342,-0.06
2015-01-09,1.001,0.995,-0.599,1.529,1.515,-0.916,1.318,-0.835
2015-01-12,1.002,1,-0.2,1.479,1.46,-1.285,1.288,-0.932
2015-01-13,1.002,0.99,-1.198,1.475,1.464,-0.746,1.286,-0.902
2015-01-14,1.002,1,-0.2,1.422,1.401,-1.477,1.254,-1.069
2015-01-15,1.002,1.002,0,1.475,1.451,-1.627,1.286,-1.135
2015-01-16,1.003,0.999,-0.399,1.503,1.498,-0.333,1.303,-0.353
2015-01-19,1.003,0.984,-1.894,1.358,1.378,1.473,1.216,0.362
2015-01-20,1.003,0.966,-3.689,1.396,1.402,0.43,1.239,-0.92
2015-01-21,1.003,0.993,-0.997,1.481,1.47,-0.743,1.29,-0.837
2015-01-22,1.004,0.984,-1.992,1.524,1.517,-0.459,1.316,-0.927
2015-01-23,1.004,0.978,-2.59,1.509,1.522,0.861,1.307,-0.199
2015-01-26,1.004,0.99,-1.394,1.546,1.534,-0.776,1.329,-0.948
2015-01-27,1.004,1.018,1.394,1.521,1.506,-0.986,1.314,-0.244
2015-01-28,1.005,1.015,0.995,1.482,1.502,1.35,1.291,1.255
2015-01-29,1.005,1.01,0.498,1.463,1.47,0.478,1.28,0.469
2015-01-30,1.005,1.007,0.199,1.442,1.465,1.595,1.267,1.168
2015-02-02,1.005,0.98,-2.488,1.408,1.427,1.349,1.247,0.096
2015-02-03,1.006,1,-0.596,1.443,1.461,1.247,1.268,0.678
2015-02-04,1.006,0.988,-1.789,1.426,1.463,2.595,1.258,1.192
2015-02-05,1.006,0.995,-1.093,1.384,1.435,3.685,1.233,2.109
2015-02-06,1.006,0.994,-1.193,1.329,1.312,-1.279,1.2,-1.267
2015-02-09,1.007,0.997,-0.993,1.329,1.317,-0.903,1.2,-0.917
2015-02-10,1.007,1,-0.695,1.355,1.339,-1.181,1.216,-1.036
2015-02-11,1.007,1,-0.695,1.357,1.342,-1.105,1.217,-0.97
2015-02-12,1.007,1,-0.695,1.359,1.341,-1.325,1.218,-1.1
2015-02-13,1.007,1.001,-0.596,1.385,1.374,-0.794,1.234,-0.746
2015-02-16,1.008,1.002,-0.595,1.4,1.391,-0.643,1.243,-0.611
2015-02-17,1.008,1,-0.794,1.4,1.399,-0.071,1.243,-0.29
2015-02-25,1.009,1.003,-0.595,1.387,1.374,-0.937,1.236,-0.841
2015-02-26,1.01,1.006,-0.396,1.447,1.433,-0.968,1.272,-0.77
2015-02-27,1.01,1.005,-0.495,1.457,1.448,-0.618,1.278,-0.563
2015-03-02,1.01,1.006,-0.396,1.492,1.488,-0.268,1.299,-0.293
2015-03-03,1.01,0.99,-1.98,1.468,1.468,0,1.285,-0.638
2015-03-04,1.011,0.994,-1.682,1.473,1.465,-0.543,1.288,-0.885
2015-03-05,1.011,0.997,-1.385,1.451,1.44,-0.758,1.275,-0.957
2015-03-06,1.011,1,-1.088,1.471,1.47,-0.068,1.287,-0.389
2015-03-09,1.011,0.998,-1.286,1.479,1.472,-0.473,1.292,-0.743
2015-03-10,1.012,0.998,-1.383,1.475,1.465,-0.678,1.29,-0.915
2015-03-11,1.012,1.013,0.099,1.46,1.44,-1.37,1.281,-0.921
2015-03-12,1.012,1.047,3.458,1.477,1.451,-1.76,1.291,-0.124
2015-03-13,1.012,1.035,2.273,1.494,1.471,-1.539,1.301,-0.338
