date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.049,0.905,-13.727,1.359,1.537,13.098,1.204,1.412
2015-01-06,1.049,0.91,-13.251,1.413,1.648,16.631,1.231,3.899
2015-01-07,1.049,0.91,-13.251,1.399,1.649,17.87,1.224,4.534
2015-01-08,1.049,0.906,-13.632,1.395,1.55,11.111,1.222,0.491
2015-01-09,1.049,0.904,-13.823,1.373,1.516,10.415,1.211,-0.083
2015-01-12,1.05,0.909,-13.429,1.374,1.494,8.734,1.212,-0.866
2015-01-13,1.05,0.908,-13.524,1.402,1.517,8.203,1.226,-1.101
2015-01-14,1.05,0.907,-13.619,1.374,1.495,8.806,1.212,-0.908
2015-01-15,1.05,0.91,-13.333,1.386,1.5,8.225,1.218,-1.067
2015-01-16,1.05,0.912,-13.143,1.416,1.538,8.616,1.233,-0.649
2015-01-19,1.051,0.915,-12.94,1.343,1.409,4.914,1.197,-2.924
2015-01-20,1.051,0.921,-12.369,1.417,1.52,7.269,1.234,-1.094
2015-01-21,1.051,0.924,-12.084,1.453,1.561,7.433,1.252,-0.759
2015-01-22,1.051,0.92,-12.464,1.469,1.571,6.943,1.26,-1.151
2015-01-23,1.052,0.927,-11.882,1.43,1.55,8.392,1.241,-0.201
2015-01-26,1.052,0.938,-10.837,1.46,1.567,7.329,1.256,-0.279
2015-01-27,1.052,0.94,-10.646,1.48,1.564,5.676,1.266,-1.106
2015-01-28,1.052,0.946,-10.076,1.448,1.536,6.077,1.25,-0.72
2015-01-29,1.052,0.937,-10.932,1.426,1.511,5.961,1.239,-1.211
2015-01-30,1.053,0.939,-10.826,1.401,1.5,7.066,1.227,-0.611
2015-02-02,1.053,0.936,-11.111,1.399,1.476,5.504,1.226,-1.631
2015-02-03,1.053,0.94,-10.731,1.451,1.52,4.755,1.252,-1.757
2015-02-04,1.053,0.941,-10.636,1.447,1.528,5.598,1.25,-1.24
2015-02-05,1.054,0.942,-10.626,1.442,1.542,6.935,1.248,-0.481
2015-02-06,1.054,0.948,-10.057,1.402,1.491,6.348,1.228,-0.692
2015-02-09,1.054,0.95,-9.867,1.412,1.475,4.462,1.233,-1.663
2015-02-10,1.054,0.955,-9.393,1.446,1.519,5.048,1.25,-1.04
2015-02-11,1.055,0.956,-9.384,1.477,1.542,4.401,1.266,-1.343
2015-02-12,1.055,0.96,-9.005,1.495,1.564,4.615,1.275,-1.02
2015-02-13,1.055,0.964,-8.626,1.515,1.589,4.884,1.285,-0.661
2015-02-16,1.055,0.963,-8.72,1.567,1.631,4.084,1.311,-1.068
2015-02-17,1.056,0.97,-8.144,1.58,1.647,4.241,1.318,-0.721
2015-02-25,1.057,0.972,-8.042,1.545,1.622,4.984,1.301,-0.307
2015-02-26,1.057,0.971,-8.136,1.571,1.616,2.864,1.314,-1.56
2015-02-27,1.057,0.977,-7.569,1.607,1.652,2.8,1.332,-1.314
2015-03-02,1.055,0.975,-7.583,1.645,1.691,2.796,1.35,-1.259
2015-03-03,1.055,0.974,-7.678,1.603,1.659,3.493,1.329,-0.941
2015-03-04,1.056,0.982,-7.008,1.65,1.695,2.727,1.353,-1.072
2015-03-05,1.056,0.977,-7.481,1.642,1.694,3.167,1.349,-1.001
2015-03-06,1.056,0.981,-7.102,1.586,1.642,3.531,1.321,-0.719
2015-03-09,1.056,0.979,-7.292,1.616,1.652,2.228,1.336,-1.534
2015-03-10,1.057,0.985,-6.812,1.663,1.675,0.722,1.36,-2.206
2015-03-11,1.057,0.996,-5.771,1.659,1.708,2.954,1.358,-0.442
2015-03-12,1.057,0.992,-6.149,1.653,1.71,3.448,1.355,-0.295
2015-03-13,1,0.99,-1,1,1.702,70.2,1,34.6
2015-03-16,1,0.99,-1,1.054,1.702,61.48,1.027,31.061
2015-03-17,1.001,0.96,-4.096,1.073,1.159,8.015,1.037,2.17
2015-03-18,1.001,0.951,-4.995,1.103,1.275,15.594,1.052,5.798
2015-03-19,1.001,0.939,-6.194,1.117,1.403,25.604,1.059,10.576
2015-03-20,1.001,0.91,-9.091,1.133,1.263,11.474,1.067,1.828
2015-03-23,1.002,0.916,-8.583,1.196,1.237,3.428,1.099,-2.047
2015-03-24,1.002,0.914,-8.782,1.226,1.28,4.405,1.114,-1.526
2015-03-25,1.002,0.915,-8.683,1.24,1.294,4.355,1.121,-1.472
2015-03-26,1.002,0.919,-8.283,1.178,1.304,10.696,1.09,1.972
2015-03-27,1.002,0.917,-8.483,1.196,1.275,6.605,1.099,-0.273
2015-03-30,1.003,0.911,-9.172,1.205,1.296,7.552,1.104,-0.045
2015-03-31,1.003,0.911,-9.172,1.217,1.285,5.588,1.11,-1.081
2015-04-01,1.003,0.925,-7.777,1.269,1.311,3.31,1.136,-1.585
2015-04-02,1.003,0.919,-8.375,1.315,1.37,4.183,1.159,-1.251
2015-04-03,1.003,0.923,-7.976,1.363,1.47,7.85,1.183,1.141
2015-04-07,1.004,0.918,-8.566,1.402,1.591,13.481,1.203,4.281
2015-04-08,1.004,0.911,-9.263,1.412,1.72,21.813,1.208,8.899
2015-04-09,1.004,0.889,-11.454,1.388,1.618,16.571,1.196,4.808
2015-04-10,1.004,0.874,-12.948,1.432,1.567,9.427,1.218,0.205
2015-04-13,1.005,0.876,-12.836,1.469,1.555,5.854,1.237,-1.738
2015-04-14,1.005,0.88,-12.438,1.469,1.56,6.195,1.237,-1.374
2015-04-15,1.005,0.884,-12.04,1.381,1.516,9.776,1.193,0.587
2015-04-16,1.005,0.884,-12.04,1.415,1.548,9.399,1.21,0.496
