date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-01-05,1.006,0.834,-17.097,0.928,1.087,17.134,0.967,-0.672
2015-01-06,1.006,0.835,-16.998,0.99,1.157,16.869,0.998,-0.2
2015-01-07,1.006,0.838,-16.7,0.98,1.14,16.327,0.993,-0.403
2015-01-08,1.007,0.837,-16.882,0.983,1.142,16.175,0.995,-0.553
2015-01-09,1.007,0.838,-16.783,0.985,1.163,18.071,0.996,0.452
2015-01-12,1.007,0.836,-16.981,1.003,1.157,15.354,1.005,-0.846
2015-01-13,1.007,0.838,-16.783,1.063,1.208,13.641,1.035,-1.159
2015-01-14,1.008,0.836,-17.063,1.04,1.207,16.058,1.024,-0.244
2015-01-15,1.008,0.841,-16.567,1.042,1.192,14.395,1.025,-0.829
2015-01-16,1.008,0.843,-16.369,1.106,1.281,15.823,1.057,0.473
2015-01-19,1.008,0.852,-15.476,1.056,1.263,19.602,1.032,2.471
2015-01-20,1.009,0.849,-15.857,1.153,1.375,19.254,1.081,2.868
2015-01-21,1.009,0.848,-15.956,1.179,1.375,16.624,1.094,1.6
2015-01-22,1.009,0.846,-16.155,1.199,1.359,13.344,1.104,-0.136
2015-01-23,1.009,0.852,-15.56,1.147,1.296,12.99,1.078,-0.371
2015-01-26,1.009,0.861,-14.668,1.205,1.335,10.788,1.107,-0.813
2015-01-27,1.01,0.87,-13.861,1.212,1.336,10.231,1.111,-0.72
2015-01-28,1.01,0.868,-14.059,1.198,1.326,10.684,1.104,-0.634
2015-01-29,1.01,0.864,-14.455,1.188,1.314,10.606,1.099,-0.91
2015-01-30,1.01,0.865,-14.356,1.16,1.291,11.293,1.085,-0.645
2015-02-02,1.011,0.861,-14.837,1.167,1.3,11.397,1.089,-0.781
2015-02-03,1.011,0.863,-14.639,1.219,1.357,11.321,1.115,-0.448
2015-02-04,1.011,0.869,-14.045,1.223,1.341,9.648,1.117,-1.074
2015-02-05,1.011,0.869,-14.045,1.249,1.377,10.248,1.13,-0.619
2015-02-06,1.011,0.868,-14.144,1.199,1.331,11.009,1.105,-0.498
2015-02-09,1.012,0.871,-13.933,1.172,1.329,13.396,1.092,0.733
2015-02-10,1.012,0.871,-13.933,1.224,1.39,13.562,1.118,1.118
2015-02-11,1.012,0.874,-13.636,1.278,1.418,10.955,1.145,0.087
2015-02-12,1.012,0.883,-12.747,1.302,1.419,8.986,1.157,-0.519
2015-02-13,1.012,0.891,-11.957,1.33,1.439,8.195,1.171,-0.512
2015-02-16,1.013,0.891,-12.043,1.435,1.562,8.85,1.224,0.204
2015-02-17,1.013,0.893,-11.846,1.437,1.555,8.212,1.225,-0.082
2015-02-25,1.014,0.888,-12.426,1.392,1.513,8.693,1.203,-0.208
2015-02-26,1.014,0.892,-12.032,1.398,1.527,9.227,1.206,0.29
2015-02-27,1.014,0.89,-12.229,1.452,1.555,7.094,1.233,-0.852
2015-03-02,1.015,0.882,-13.103,1.515,1.644,8.515,1.265,-0.158
2015-03-03,1.015,0.88,-13.3,1.489,1.613,8.328,1.252,-0.439
2015-03-04,1.015,0.88,-13.3,1.537,1.689,9.889,1.276,0.666
2015-03-05,1.015,0.881,-13.202,1.553,1.739,11.977,1.284,2.025
2015-03-06,1.016,0.886,-12.795,1.49,1.679,12.685,1.253,2.354
2015-03-09,1.016,0.883,-13.091,1.53,1.663,8.693,1.273,0
2015-03-10,1.016,0.882,-13.189,1.578,1.722,9.125,1.297,0.386
2015-03-11,1.016,0.885,-12.894,1.57,1.71,8.917,1.293,0.348
2015-03-12,1.017,0.884,-13.078,1.557,1.696,8.927,1.287,0.233
2015-03-13,1.017,0.889,-12.586,1.609,1.731,7.582,1.313,-0.228
